"vendas","descontos","venda_líquida","qtd_unidades","lucro","custo_entrega","custo_implicito","prioridades_pedidos","categorias_produto","sub_categorias_produto","modo_entrega"
2162.8165,0.01,2141.188335,20,223.25,8.99,1908.948335,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
399.76,0.04,383.76959999999997,27,48.13,3.5,332.1396,MEDIUM,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
5393.27,0.1,4853.943,22,353.72,28.06,4472.163,MEDIUM,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK
264.63,0.02,259.3374,9,-66.78,4.0,322.1174,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR
239.3,0.06,224.942,34,41.31,2.83,180.802,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
260.41,0.0,260.41,38,-45.75,5.35,300.81000000000006,CRITICAL,OFFICE SUPPLIES,PAPER,EXPRESS AIR
3075.83,0.03,2983.5551,50,1207.91,1.99,1773.6551000000002,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
73.37,0.04,70.43520000000001,24,16.1,0.99,53.34520000000001,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,REGULAR AIR
527.6,0.0,527.6,50,221.59,1.79,304.22,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
271.33,0.07,252.33689999999999,29,-191.09,9.45,433.9769,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
1115.2,0.09,1014.8320000000001,41,301.31,1.99,711.5320000000002,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
36.75,0.06,34.545,19,-9.82,1.49,42.875,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
97.86,0.04,93.9456,6,-21.09,8.99,106.04560000000001,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
173.44,0.05,164.768,42,-172.4,6.6,330.568,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
7477.78,0.09,6804.7798,31,883.29,41.91,5879.5798,HIGH,FURNITURE,BOOKCASES,DELIVERY TRUCK
270.39,0.01,267.6861,24,-30.42,7.94,290.16610000000003,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
201.35,0.02,197.323,30,-107.37,7.5,297.193,HIGH,OFFICE SUPPLIES,PAPER,EXPRESS AIR
15.38,0.01,15.2262,5,1.61,0.5,13.116200000000001,HIGH,OFFICE SUPPLIES,LABELS,REGULAR AIR
43.97,0.04,42.2112,22,-9.05,1.49,49.77119999999999,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
6152.52,0.08,5660.3184,39,768.06,30.0,4862.258400000001,NOT SPECIFIED,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
20.17,0.05,19.1615,5,-15.42,3.97,30.6115,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
235.98,0.03,228.9006,21,11.82,3.37,213.7106,NOT SPECIFIED,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR
195.96,0.1,176.364,19,-104.82,6.5,274.68399999999997,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
6607.92,0.06,6211.4448,34,1462.72,24.49,4724.2348,NOT SPECIFIED,TECHNOLOGY,COPIERS AND FAX,REGULAR AIR
278.94,0.01,276.1506,30,-143.7,9.86,409.9906,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
670.94,0.02,657.5212,15,87.51,1.99,568.0212,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
32.92,0.05,31.274,8,-7.73,2.0,37.004000000000005,HIGH,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
36.86,0.07,34.2798,5,-32.82,8.49,58.6098,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
336.91,0.1,303.21900000000005,11,42.5,8.74,251.97900000000004,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
138.52,0.03,134.36440000000002,20,-895.24,49.0,980.6044,MEDIUM,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
30.85,0.03,29.924500000000002,4,-12.88,5.79,37.014500000000005,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
443.35,0.02,434.483,37,-21.73,4.98,451.233,CRITICAL,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
392.61,0.08,361.20120000000003,41,-100.15,7.29,454.0612,CRITICAL,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
1081.22,0.08,994.7224,25,130.8,8.99,854.9323999999999,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
36.41,0.01,36.045899999999996,14,-31.45,4.57,62.9259,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
5205.83,0.08,4789.3636,45,-818.77,51.94,5556.1936000000005,NOT SPECIFIED,FURNITURE,TABLES,DELIVERY TRUCK
3416.38,0.01,3382.2162000000003,32,-1142.2,57.38,4467.0362000000005,LOW,FURNITURE,BOOKCASES,DELIVERY TRUCK
142.81,0.01,141.3819,14,39.64,2.27,99.47189999999999,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
4636.62,0.1,4172.958,24,-318.45,69.0,4422.407999999999,HIGH,FURNITURE,TABLES,REGULAR AIR
100.11,0.07,93.1023,20,-41.7,4.7,130.1023,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
5140.08,0.06,4831.6752,36,-582.43,51.92,5362.1852,LOW,FURNITURE,TABLES,DELIVERY TRUCK
633.08,0.04,607.7568,14,145.48,4.62,457.6568,CRITICAL,OFFICE SUPPLIES,APPLIANCES,EXPRESS AIR
110.42,0.09,100.4822,22,-36.6,3.63,133.4522,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
25.34,0.1,22.806,5,-21.29,6.89,37.206,LOW,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
178.57,0.05,169.6415,11,-37.39,10.91,196.12150000000003,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
265.35,0.02,260.043,24,-128.69,11.59,377.14300000000003,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
1993.94,0.02,1954.0612,41,931.7,5.79,1016.5712000000001,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
24.73,0.04,23.7408,3,-10.77,4.91,29.6008,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
5407.31,0.04,5191.0176,24,1068.48,28.16,4094.3776000000003,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
1809.0125,0.01,1790.922375,25,795.05,2.5,993.3723750000001,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
31.96,0.01,31.6404,1,-74.64,1.99,104.2904,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
767.26,0.07,713.5518,25,-29.56,4.0,739.1117999999999,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
253.89,0.09,231.0399,40,-103.77,6.22,328.5899,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
127.9,0.07,118.947,20,-80.41,7.37,191.987,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
73.64,0.07,68.4852,44,-58.87,1.99,125.36520000000002,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
603.347,0.08,555.07924,13,142.98,1.25,410.84924,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
770.53,0.04,739.7088,44,30.17,6.25,703.2888,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
164.92,0.04,158.32319999999999,31,-54.36,4.86,207.82319999999999,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
74.3,0.08,68.356,34,-129.01,5.33,192.036,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
181.13,0.0,181.13,47,-11.39,2.5,190.01999999999998,HIGH,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
206.04,0.0,206.04,9,-49.81,14.39,241.45999999999998,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
668.39,0.07,621.6027,22,344.61,3.92,273.07270000000005,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
4657.35,0.05,4424.4825,16,322.66,18.06,4083.7625,HIGH,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK
246.0,0.1,221.4,44,-207.36,7.96,420.8,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
871.32,0.1,784.1880000000001,23,315.16,5.86,463.16800000000006,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
468.49,0.03,454.4353,8,-6.37,13.22,447.58529999999996,HIGH,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
446.53,0.04,428.6688,48,-261.45,10.16,679.9587999999999,HIGH,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
217.85,0.02,213.493,5,-25.31,17.48,221.323,HIGH,OFFICE SUPPLIES,PAPER,EXPRESS AIR
4260.73,0.07,3962.4788999999996,44,251.58,56.14,3654.7589,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK
196.75,0.03,190.8475,22,0.13,4.95,185.7675,CRITICAL,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
1477.39,0.03,1433.0683000000001,40,641.4,2.99,788.6783000000001,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
740.14,0.06,695.7316,37,29.73,10.49,655.5115999999999,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
16.47,0.1,14.822999999999999,8,-6.82,1.49,20.153,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
173.62,0.09,157.9942,5,-88.64,19.19,227.44420000000002,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
690.97,0.03,670.2409,50,-16.94,8.78,678.4009000000001,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
2024.0285,0.1,1821.62565,21,4.9,8.8,1807.92565,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
4054.058,0.09,3689.19278,40,914.19,2.5,2772.50278,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
2833.19,0.06,2663.1986,34,1409.87,5.01,1248.3186,LOW,OFFICE SUPPLIES,ENVELOPES,EXPRESS AIR
669.02,0.02,655.6396,28,-1274.02,53.03,1876.6296,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,DELIVERY TRUCK
4452.65,0.09,4051.9114999999997,30,-265.12,60.0,4257.0315,LOW,FURNITURE,TABLES,DELIVERY TRUCK
321.95,0.03,312.2915,29,20.76,3.37,288.1615,HIGH,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",EXPRESS AIR
1193.62,0.08,1098.1304,13,-304.47,42.0,1360.6004,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
363.23,0.05,345.06850000000003,47,40.58,4.0,300.48850000000004,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
2780.88,0.07,2586.2184,27,595.38,24.49,1966.3484000000003,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
33.76,0.04,32.4096,16,-7.15,1.49,38.0696,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
3537.39,0.0,3537.39,19,232.78,30.0,3274.6099999999997,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
986.24,0.02,966.5152,18,68.9,5.5,892.1152000000001,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR
81.66,0.05,77.577,15,-31.99,5.02,104.547,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
716.84,0.0,716.84,32,134.72,5.94,576.18,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
1143.49,0.08,1052.0108,40,-193.44,19.99,1225.4608,CRITICAL,OFFICE SUPPLIES,LABELS,REGULAR AIR
49.74,0.0,49.74,13,17.7,0.5,31.540000000000003,CRITICAL,OFFICE SUPPLIES,LABELS,REGULAR AIR
480.39,0.01,475.5861,21,144.66,8.99,321.9361,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
332.95,0.05,316.3025,33,-28.16,6.22,338.2425,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
447.36,0.01,442.88640000000004,42,40.92,2.89,399.07640000000004,LOW,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
53.93,0.04,51.7728,26,-10.95,1.49,61.2328,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
43.26,0.1,38.934,9,3.9,1.49,33.544,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
174.03,0.02,170.5494,25,-42.37,5.74,207.1794,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
1190.8,0.07,1107.444,44,502.49,1.49,603.4639999999999,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
121.65,0.05,115.56750000000001,42,30.76,0.99,83.81750000000001,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,REGULAR AIR
103.105,0.09,93.82555,2,-316.32,2.5,407.64555,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
19.02,0.05,18.069,2,10.73,5.33,2.0089999999999986,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
78.08,0.01,77.2992,46,-43.1,1.57,118.82920000000001,CRITICAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
263.8,0.0,263.8,7,165.33,5.02,93.45000000000002,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
1546.3965,0.07,1438.148745,28,226.72,5.26,1206.168745,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
1935.1,0.01,1915.7489999999998,11,-42.96,35.89,1922.8189999999997,LOW,FURNITURE,BOOKCASES,DELIVERY TRUCK
447.89,0.0,447.89,48,-26.78,6.19,468.48,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
189.19,0.08,174.0548,12,-56.71,8.34,222.4248,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
697.5,0.02,683.55,28,169.89,6.3,507.36,LOW,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
198.72,0.01,196.7328,4,-34.43,14.45,216.71280000000002,CRITICAL,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
5297.47,0.02,5191.5206,19,-158.93,50.0,5300.4506,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
109.37,0.1,98.433,10,-21.66,4.5,115.593,LOW,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
1461.1,0.01,1446.4889999999998,43,674.46,1.99,770.0389999999998,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
184.07,0.04,176.7072,8,75.63,7.58,93.49719999999999,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
573.97,0.05,545.2715000000001,29,55.82,9.54,479.9115000000001,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
223.79,0.01,221.5521,39,-89.88,5.66,305.7721,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
129.16,0.07,120.1188,20,-56.15,6.22,170.0488,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
843.55,0.08,776.0659999999999,29,168.76,8.74,598.5659999999999,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
260.96,0.09,237.47359999999998,40,-96.7,6.22,327.9536,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
263.81,0.03,255.8957,47,-237.54,7.78,485.6557,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
95.3,0.0,95.3,20,29.68,1.22,64.4,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
60.76,0.03,58.9372,16,5.25,1.61,52.0772,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
3636.91,0.0,3636.91,29,-1284.24,70.2,4850.95,LOW,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
2744.361,0.01,2716.91739,16,201.03,8.99,2506.89739,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
1201.934,0.03,1165.87598,49,47.42,8.59,1109.86598,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
395.84,0.0,395.84,38,8.42,6.02,381.4,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
206.54,0.02,202.4092,31,-178.82,9.68,371.5492,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
318.14,0.01,314.9586,25,49.67,5.09,260.1986,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
177.05,0.0,177.05,5,-50.67,1.99,225.73000000000002,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
1184.03,0.04,1136.6688,40,-20.79,4.0,1153.4587999999999,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
318.7585,0.1,286.88265,49,-160.95,5.03,442.80265,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
460.68,0.01,456.0732,40,-116.76,7.46,565.3732,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
130.16,0.1,117.14399999999999,23,-49.53,5.14,161.534,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
5.06,0.01,5.009399999999999,1,-2.64,1.92,5.7294,LOW,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR
103.9,0.07,96.62700000000001,4,-19.26,7.58,108.30700000000002,CRITICAL,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
1327.59,0.05,1261.2105,35,371.28,2.9,887.0304999999998,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,EXPRESS AIR
3401.8,0.09,3095.6380000000004,39,-508.87,19.99,3584.5180000000005,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR
181.61,0.03,176.16170000000002,44,-150.26,5.34,321.0817,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
111.55,0.05,105.9725,35,-54.25,1.92,158.3025,LOW,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR
1435.95,0.05,1364.1525000000001,36,486.9,1.99,875.2625000000002,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
961.06,0.05,913.007,28,361.82,5.02,546.1669999999999,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
146.63,0.01,145.1637,19,-30.06,6.22,169.0037,CRITICAL,OFFICE SUPPLIES,PAPER,EXPRESS AIR
1020.61,0.04,979.7856,47,-209.61,13.99,1175.4056,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
2506.2675,0.03,2431.079475,35,1160.58,3.3,1267.199475,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
188.54,0.09,171.57139999999998,23,9.82,1.99,159.76139999999998,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
359.68,0.07,334.5024,19,187.15,3.77,143.58240000000004,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
131.55,0.06,123.65700000000001,7,-43.74,8.51,158.887,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
258.11,0.1,232.299,26,9.95,4.78,217.56900000000002,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,EXPRESS AIR
1288.515,0.08,1185.4338,9,-382.57,8.99,1559.0138,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
277.88,0.09,252.8708,36,-64.41,6.16,311.12080000000003,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
925.3,0.04,888.288,47,257.31,5.77,625.2080000000001,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
3939.89,0.05,3742.8954999999996,13,598.24,48.8,3095.8554999999997,NOT SPECIFIED,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
3419.1505,0.0,3419.1505,34,858.58,5.92,2554.6505,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
268.34,0.09,244.18939999999998,44,-240.83,8.88,476.1394,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
1859.01,0.09,1691.6991,32,-588.9,30.0,2250.5991,HIGH,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
1781.11,0.1,1602.9989999999998,19,51.44,19.99,1531.5689999999997,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
185.32,0.03,179.7604,44,-192.56,6.92,365.4004,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
43.66,0.04,41.913599999999995,28,5.77,0.7,35.44359999999999,HIGH,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
73.41,0.08,67.5372,15,-44.79,4.97,107.3572,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
130.11,0.03,126.20670000000001,16,-47.69,2.83,171.06670000000003,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
4012.58,0.05,3811.951,15,-425.14,35.0,4202.091,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR
1295.54,0.06,1217.8075999999999,31,214.23,17.48,986.0975999999998,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
238.25,0.05,226.3375,24,-83.55,7.28,302.6075,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
403.73,0.06,379.50620000000004,39,-44.13,4.5,419.13620000000003,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
209.0,0.08,192.28,6,12.32,7.5,172.46,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
1795.49,0.05,1705.7155,15,-626.04,58.72,2273.0355,HIGH,FURNITURE,BOOKCASES,DELIVERY TRUCK
38.76,0.1,34.884,4,-12.13,6.97,40.044000000000004,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,EXPRESS AIR
551.44,0.0,551.44,36,28.7,7.51,515.23,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
834.0625,0.01,825.721875,27,192.29,1.25,632.181875,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
417.88,0.08,384.4496,15,-13.95,8.99,389.40959999999995,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,EXPRESS AIR
493.56,0.06,463.9464,42,12.73,5.99,445.22639999999996,CRITICAL,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
360.24,0.04,345.8304,18,-36.24,4.0,378.0704,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR
1463.27,0.09,1331.5756999999999,46,104.22,8.22,1219.1356999999998,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
210.46,0.03,204.14620000000002,44,50.04,1.49,152.61620000000002,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,EXPRESS AIR
195.57,0.09,177.96869999999998,32,-132.93,7.5,303.39869999999996,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
501.32,0.04,481.2672,30,-119.08,13.18,587.1672,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
2756.17,0.04,2645.9232,37,-1561.72,69.0,4138.6432,CRITICAL,FURNITURE,TABLES,REGULAR AIR
691.52,0.03,670.7744,47,107.02,5.3,558.4544000000001,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
5159.3725,0.02,5056.18505,29,1252.48,8.08,3795.62505,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
307.65,0.07,286.11449999999996,36,91.73,2.01,192.37449999999995,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
558.62,0.03,541.8614,11,118.32,3.99,419.5514,HIGH,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
556.45,0.08,511.934,21,-124.42,14.36,621.994,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
61.46,0.08,56.5432,11,-47.83,4.93,99.44319999999999,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR
2137.1,0.05,2030.245,31,-686.01,46.74,2669.515,CRITICAL,FURNITURE,BOOKCASES,DELIVERY TRUCK
