"ord_id","prod_id","ship_id","vendas","descontos","qtd_unidades","profit","shipping_cost","base_margin","venda_por_unidade","lucro_por_unidade","custo_por_unidade","custo_implicito"
Ord_2282,Prod_9,SHP_3122,443.46,0.06,30,193.12,1.39,0.38,14.782,6.437333333333333,0.04633333333333333,222.3424
Ord_4427,Prod_6,SHP_6171,283.13,0.08,45,-141.26,6.81,0.36,6.291777777777778,-3.1391111111111107,0.15133333333333332,394.9296
Ord_996,Prod_13,SHP_1378,41.97,0.05,12,-37.03,4.2,0.56,3.4975,-3.0858333333333334,0.35000000000000003,72.7015
Ord_996,Prod_13,SHP_1378,57.17,0.08,18,-24.03,2.31,0.56,3.176111111111111,-1.335,0.12833333333333333,74.3164
Ord_996,Prod_6,SHP_1378,81.25,0.01,11,-44.54,7.86,0.37,7.386363636363637,-4.049090909090909,0.7145454545454546,117.1175
Ord_996,Prod_5,SHP_1377,3202.25,0.09,44,991.26,19.99,0.43,72.7784090909091,22.528636363636362,0.4543181818181818,1902.7975000000004
Ord_996,Prod_7,SHP_1378,35.64,0.05,10,-0.71,1.63,0.36,3.564,-0.071,0.16299999999999998,32.938
Ord_2573,Prod_3,SHP_3525,197.61,0.08,13,3.46,7.27,0.38,15.200769230769232,0.26615384615384613,0.5592307692307692,171.0712
Ord_2335,Prod_13,SHP_3204,38.26,0.03,22,-2.34,0.7,0.56,1.739090909090909,-0.10636363636363635,0.031818181818181815,38.7522
Ord_2456,Prod_5,SHP_3367,109.58,0.0,13,31.32,4.0,0.42,8.429230769230768,2.4092307692307693,0.3076923076923077,74.25999999999999
Ord_2405,Prod_9,SHP_3300,1062.69,0.01,28,401.8,6.66,0.4,37.95321428571429,14.35,0.23785714285714285,643.6031
Ord_2573,Prod_4,SHP_3527,3594.7435,0.05,38,1016.97,2.5,0.55,94.59851315789474,26.76236842105263,0.06578947368421052,2395.536325
Ord_2478,Prod_12,SHP_3395,139.98,0.07,33,-140.54,6.89,0.39,4.241818181818181,-4.258787878787879,0.20878787878787877,263.8314
Ord_2334,Prod_9,SHP_3203,129.1,0.0,27,-59.82,4.99,0.38,4.781481481481482,-2.2155555555555555,0.18481481481481482,183.93
Ord_2573,Prod_7,SHP_3526,68.92,0.04,22,2.63,1.58,0.39,3.132727272727273,0.11954545454545454,0.07181818181818182,61.9532
Ord_2343,Prod_6,SHP_3215,76.16,0.04,12,-24.03,5.2,0.36,6.346666666666667,-2.0025,0.43333333333333335,91.94359999999999
Ord_5046,Prod_17,SHP_7042,630.99,0.07,49,-114.64,9.44,0.39,12.87734693877551,-2.339591836734694,0.19265306122448977,692.0206999999999
Ord_5040,Prod_3,SHP_7033,193.84,0.07,23,-117.1,8.94,0.4,8.427826086956522,-5.091304347826087,0.388695652173913,288.4312
Ord_5033,Prod_2,SHP_7022,139.0,0.05,16,-96.33,9.23,0.58,8.6875,-6.020625,0.576875,219.15
Ord_5029,Prod_13,SHP_7016,54.79,0.05,9,-6.82,2.27,0.56,6.087777777777777,-0.7577777777777778,0.25222222222222224,56.6005
Ord_5040,Prod_2,SHP_7032,1637.78,0.08,38,461.65,4.62,0.56,43.09947368421052,12.148684210526316,0.12157894736842105,1040.4876
Ord_5035,Prod_12,SHP_7025,416.8,0.01,32,223.38,0.5,0.38,13.025,6.980625,0.015625,188.752
Ord_5045,Prod_5,SHP_7040,1286.87,0.05,48,384.38,6.93,0.49,26.809791666666666,8.007916666666667,0.144375,831.2164999999999
Ord_5035,Prod_15,SHP_7024,4917.69,0.02,42,126.31,30.0,0.71,117.08785714285713,3.0073809523809523,0.7142857142857143,4663.026199999999
Ord_5046,Prod_7,SHP_7041,202.11,0.08,40,-17.49,3.39,0.37,5.0527500000000005,-0.43724999999999997,0.08475,200.04120000000003
Ord_1184,Prod_1,SHP_1634,1974.66,0.06,32,-929.68,35.0,0.8,61.708125,-29.0525,1.09375,2750.8604
Ord_4768,Prod_12,SHP_6650,3.85,0.08,1,-1.36,0.99,0.37,3.85,-1.36,0.99,3.912000000000001
Ord_4690,Prod_2,SHP_6545,904.12,0.07,4,28.81,11.79,0.42,226.03,7.2025,2.9475,800.2316000000001
Ord_4659,Prod_6,SHP_6493,1451.59,0.06,26,435.11,14.3,0.37,55.83038461538461,16.735,0.55,915.0846
Ord_4622,Prod_12,SHP_6437,56.26,0.0,14,28.11,0.5,0.38,4.018571428571429,2.007857142857143,0.03571428571428571,27.65
Ord_4657,Prod_5,SHP_6490,336.86,0.06,23,36.32,5.3,0.46,14.64608695652174,1.5791304347826087,0.23043478260869565,275.02840000000003
Ord_4682,Prod_5,SHP_6531,63.91,0.04,14,-44.47,6.6,0.49,4.5649999999999995,-3.176428571428571,0.4714285714285714,99.2236
Ord_4768,Prod_4,SHP_6651,547.0005,0.08,10,-97.2,3.9,0.55,54.70005,-9.72,0.39,596.54046
Ord_4755,Prod_13,SHP_6628,3.41,0.06,1,-1.78,0.7,0.56,3.41,-1.78,0.7,4.2854
Ord_4659,Prod_6,SHP_6492,391.9,0.1,11,-47.01,19.99,0.38,35.627272727272725,-4.2736363636363635,1.8172727272727272,379.72999999999996
Ord_4682,Prod_4,SHP_6531,1909.0065,0.01,32,344.13,8.99,0.59,59.656453125,10.7540625,0.2809375,1536.7964349999997
Ord_4657,Prod_5,SHP_6489,418.03,0.0,47,-158.58,7.96,0.49,8.894255319148936,-3.3740425531914897,0.16936170212765958,568.65
Ord_4410,Prod_5,SHP_6146,605.77,0.05,42,129.33,5.0,0.49,14.423095238095238,3.0792857142857146,0.11904761904761904,441.15149999999994
Ord_4546,Prod_1,SHP_6327,5208.78,0.05,34,1547.78,7.07,0.59,153.19941176470587,45.52294117647059,0.20794117647058824,3393.491
Ord_4552,Prod_12,SHP_6335,104.7,0.09,29,42.16,0.5,0.38,3.610344827586207,1.4537931034482758,0.017241379310344827,52.617000000000004
Ord_4497,Prod_13,SHP_6261,211.97,0.06,10,-46.83,8.99,0.59,21.197,-4.683,0.899,237.09179999999998
Ord_4410,Prod_6,SHP_6146,1480.91,0.0,44,489.14,8.74,0.4,33.657045454545454,11.116818181818182,0.19863636363636364,983.0300000000001
Ord_4499,Prod_13,SHP_6265,6.76,0.02,3,-4.28,1.57,0.59,2.2533333333333334,-1.4266666666666667,0.5233333333333333,9.3348
Ord_4475,Prod_4,SHP_6234,7640.225,0.07,46,2027.68,2.5,0.59,166.09184782608696,44.08,0.05434782608695652,5075.22925
Ord_4547,Prod_6,SHP_6328,23.44,0.05,3,-10.58,5.2,0.36,7.8133333333333335,-3.526666666666667,1.7333333333333334,27.648000000000003
Ord_4541,Prod_2,SHP_6322,336.65,0.07,30,-71.05,6.96,0.5,11.221666666666666,-2.368333333333333,0.232,377.1745
Ord_4348,Prod_6,SHP_6063,330.21,0.07,14,83.24,5.47,0.39,23.58642857142857,5.945714285714286,0.3907142857142857,218.38529999999992
Ord_4547,Prod_8,SHP_6328,28.46,0.02,4,-27.13,3.85,0.68,7.115,-6.7825,0.9625,51.1708
Ord_4607,Prod_2,SHP_6408,1463.42,0.08,26,350.82,3.99,0.57,56.285384615384615,13.493076923076924,0.15346153846153848,991.5364000000002
Ord_4546,Prod_2,SHP_6327,498.68,0.06,20,79.52,5.37,0.5,24.934,3.976,0.2685,383.86920000000003
Ord_5233,Prod_3,SHP_7310,92.24,0.05,19,-60.58,5.24,0.39,4.854736842105263,-3.188421052631579,0.27578947368421053,142.96800000000002
Ord_5147,Prod_6,SHP_7193,199.11,0.01,30,-83.33,6.65,0.36,6.6370000000000005,-2.7776666666666667,0.22166666666666668,273.7989
Ord_5215,Prod_17,SHP_7287,140.59,0.01,7,-35.88,8.51,0.4,20.084285714285716,-5.125714285714286,1.2157142857142857,166.5541
Ord_5216,Prod_13,SHP_7289,141.59,0.04,48,20.26,0.7,0.58,2.9497916666666666,0.42208333333333337,0.014583333333333332,114.96640000000001
Ord_5226,Prod_6,SHP_7300,93.26,0.05,18,-35.36,4.7,0.38,5.181111111111111,-1.9644444444444444,0.2611111111111111,119.257
Ord_5213,Prod_13,SHP_7284,1633.37,0.08,50,144.69,7.73,0.59,32.6674,2.8938,0.15460000000000002,1350.2803999999999
Ord_5226,Prod_15,SHP_7299,1210.72,0.05,17,-382.43,30.0,0.78,71.21882352941176,-22.495882352941177,1.7647058823529411,1502.614
Ord_5174,Prod_6,SHP_7231,292.75,0.08,33,93.33,2.01,0.39,8.871212121212121,2.828181818181818,0.060909090909090906,173.99
Ord_5205,Prod_4,SHP_7274,2546.5235,0.09,26,210.0,7.69,0.59,97.94321153846153,8.076923076923077,0.2957692307692308,2099.6463849999996
Ord_5216,Prod_3,SHP_7288,157.99,0.03,35,-105.55,5.41,0.35,4.514,-3.0157142857142856,0.15457142857142858,253.39030000000002
Ord_5232,Prod_6,SHP_7308,88.57,0.03,12,-28.25,6.15,0.37,7.3808333333333325,-2.3541666666666665,0.5125000000000001,108.01289999999999
Ord_5232,Prod_6,SHP_7309,73.97,0.1,13,-38.35,5.67,0.36,5.6899999999999995,-2.95,0.43615384615384617,99.25299999999999
Ord_5232,Prod_6,SHP_7307,320.04,0.02,34,32.47,4.39,0.38,9.41294117647059,0.955,0.12911764705882353,276.77920000000006
Ord_5172,Prod_4,SHP_7229,1239.4445,0.07,22,165.5,3.99,0.59,56.33838636363637,7.5227272727272725,0.18136363636363637,983.193385
Ord_5355,Prod_1,SHP_7481,123.85,0.09,16,-71.44,6.5,0.59,7.740625,-4.465,0.40625,177.6435
Ord_127,Prod_13,SHP_172,54.78,0.02,32,-30.54,1.57,0.59,1.711875,-0.954375,0.0490625,82.65440000000001
Ord_127,Prod_13,SHP_173,304.83,0.1,47,23.82,2.35,0.47,6.485744680851064,0.5068085106382979,0.05,248.17699999999996
Ord_45,Prod_13,SHP_59,312.36,0.07,11,-19.33,8.99,0.57,28.39636363636364,-1.757272727272727,0.8172727272727273,300.8348
Ord_5484,Prod_16,SHP_7663,322.82,0.05,35,-17.58,3.98,0.56,9.22342857142857,-0.5022857142857142,0.11371428571428571,320.27899999999994
Ord_5430,Prod_4,SHP_7588,337.2035,0.09,9,-120.93,4.99,0.56,37.46705555555556,-13.436666666666667,0.5544444444444445,422.795185
Ord_5462,Prod_4,SHP_7632,175.8565,0.03,10,-93.26,1.25,0.83,17.58565,-9.326,0.125,262.590805
Ord_5489,Prod_17,SHP_7671,754.92,0.0,7,-129.57,19.99,0.52,107.84571428571428,-18.509999999999998,2.8557142857142854,864.5
Ord_5462,Prod_5,SHP_7631,323.96,0.07,40,-136.82,7.96,0.49,8.099,-3.4204999999999997,0.199,430.14279999999997
Ord_5481,Prod_15,SHP_7659,2700.78,0.06,29,-793.36,58.2,0.58,93.13034482758621,-27.357241379310345,2.006896551724138,3273.8932000000004
Ord_1638,Prod_5,SHP_5892,755.19,0.0,41,81.44,8.99,0.47,18.41926829268293,1.9863414634146341,0.21926829268292683,664.76
Ord_1638,Prod_8,SHP_5892,220.79,0.0,7,-91.51,4.0,0.74,31.541428571428572,-13.072857142857144,0.5714285714285714,308.3
Ord_1638,Prod_7,SHP_2261,201.14,0.08,37,-51.25,3.37,0.54,5.4362162162162155,-1.385135135135135,0.09108108108108108,232.92879999999997
Ord_1557,Prod_2,SHP_2152,1736.53,0.1,46,457.03,3.99,0.56,37.750652173913046,9.935434782608695,0.08673913043478261,1101.857
Ord_209,Prod_13,SHP_285,30.51,0.09,11,-17.68,2.4,0.58,2.773636363636364,-1.6072727272727272,0.21818181818181817,43.0441
Ord_246,Prod_8,SHP_341,862.2,0.1,29,-45.1,4.0,0.75,29.731034482758623,-1.5551724137931036,0.13793103448275862,817.08
Ord_122,Prod_17,SHP_165,42.31,0.06,2,-53.08,8.51,0.4,21.155,-26.54,4.255,84.3414
Ord_121,Prod_8,SHP_164,1143.45,0.06,31,304.42,1.99,0.51,36.88548387096775,9.82,0.06419354838709677,768.433
Ord_122,Prod_3,SHP_166,152.67,0.04,11,12.76,4.98,0.4,13.879090909090907,1.16,0.45272727272727276,128.8232
Ord_139,Prod_17,SHP_186,2671.21,0.06,14,636.18,15.59,0.36,190.8007142857143,45.44142857142857,1.1135714285714287,1859.1674000000003
Ord_239,Prod_4,SHP_332,2157.3085,0.0,38,519.25,5.31,0.57,56.77127631578948,13.664473684210526,0.13973684210526316,1632.7485000000001
Ord_250,Prod_2,SHP_345,324.55,0.08,5,-12.82,0.99,0.58,64.91,-2.564,0.198,310.416
Ord_209,Prod_1,SHP_286,127.8,0.07,8,-30.48,7.51,0.57,15.975,-3.81,0.93875,141.82399999999998
Ord_135,Prod_9,SHP_182,30.83,0.04,2,7.27,1.39,0.36,15.415,3.635,0.695,20.936799999999998
Ord_60,Prod_12,SHP_81,176.26,0.07,44,75.13,0.5,0.39,4.005909090909091,1.7074999999999998,0.011363636363636364,88.2918
Ord_23,Prod_12,SHP_31,282.07,0.03,39,140.01,0.49,0.38,7.232564102564102,3.59,0.012564102564102564,133.10789999999997
Ord_23,Prod_4,SHP_31,426.037,0.01,24,-78.96,2.5,0.81,17.751541666666665,-3.2899999999999996,0.10416666666666667,498.23662999999993
Ord_5374,Prod_8,SHP_7504,1222.59,0.02,29,501.99,1.99,0.42,42.15827586206896,17.31,0.06862068965517241,694.1581999999999
Ord_5351,Prod_4,SHP_7474,1463.0965,0.0,14,162.67,2.5,0.57,104.50689285714286,11.619285714285713,0.17857142857142858,1297.9265
Ord_5417,Prod_12,SHP_7565,128.13,0.09,42,32.53,0.99,0.37,3.0507142857142857,0.7745238095238095,0.02357142857142857,83.0783
Ord_5354,Prod_5,SHP_7480,152.44,0.08,20,-16.64,3.68,0.52,7.622,-0.8320000000000001,0.184,153.20479999999998
Ord_5351,Prod_6,SHP_7475,246.3,0.02,38,-67.49,5.79,0.36,6.481578947368422,-1.7760526315789473,0.15236842105263157,303.074
Ord_2340,Prod_5,SHP_3210,136.61,0.01,8,80.43,3.73,0.46,17.07625,10.05375,0.46625,51.08390000000003
Ord_2432,Prod_4,SHP_3339,3883.4715,0.1,42,707.17,8.99,0.58,92.46360714285714,16.83738095238095,0.21404761904761904,2778.96435
Ord_2480,Prod_3,SHP_3397,169.61,0.1,29,-211.06,9.92,0.38,5.8486206896551725,-7.277931034482759,0.34206896551724136,353.789
Ord_2394,Prod_13,SHP_3284,64.36,0.06,37,-1.53,0.7,0.56,1.7394594594594595,-0.04135135135135135,0.018918918918918916,61.328399999999995
Ord_2372,Prod_10,SHP_3256,1764.97,0.07,13,-383.5,54.74,0.69,135.7669230769231,-29.5,4.210769230769231,1970.1821
Ord_2566,Prod_13,SHP_3515,422.25,0.06,35,-116.02,7.95,0.58,12.064285714285715,-3.314857142857143,0.22714285714285715,504.985
Ord_2340,Prod_11,SHP_3211,2907.63,0.04,42,54.6,69.0,0.68,69.22928571428572,1.3,1.6428571428571428,2667.7248000000004
Ord_2480,Prod_4,SHP_3397,1247.9275,0.1,24,186.42,2.5,0.55,51.99697916666667,7.767499999999999,0.10416666666666667,934.21475
Ord_2394,Prod_3,SHP_3284,161.8,0.06,44,21.34,1.49,0.38,3.6772727272727277,0.485,0.03386363636363637,129.262
Ord_2511,Prod_13,SHP_3440,250.13,0.01,40,61.97,1.2,0.55,6.2532499999999995,1.54925,0.03,184.45870000000002
Ord_2372,Prod_6,SHP_3257,238.34,0.04,50,-7.36,3.01,0.36,4.7668,-0.1472,0.0602,233.15640000000002
Ord_4153,Prod_4,SHP_5788,2079.474,0.05,45,-81.57,5.0,0.8,46.21053333333334,-1.8126666666666664,0.1111111111111111,2052.0703000000003
Ord_4155,Prod_12,SHP_5790,12.01,0.0,3,-1.08,0.5,0.38,4.003333333333333,-0.36000000000000004,0.16666666666666666,12.59
Ord_4155,Prod_4,SHP_5791,2211.734,0.02,15,80.76,4.99,0.59,147.44893333333331,5.384,0.33266666666666667,2081.74932
Ord_4155,Prod_5,SHP_5790,1846.76,0.03,20,3.14,39.61,0.67,92.338,0.157,1.9805,1748.6072
Ord_1673,Prod_5,SHP_2313,23.93,0.1,3,-6.39,0.96,0.43,7.976666666666667,-2.13,0.32,26.967
Ord_1673,Prod_17,SHP_2314,2027.55,0.04,14,537.4,13.99,0.37,144.825,38.385714285714286,0.9992857142857143,1395.058
Ord_1442,Prod_7,SHP_1993,258.13,0.03,41,84.1,1.82,0.35,6.295853658536585,2.051219512195122,0.04439024390243903,164.4661
Ord_1637,Prod_2,SHP_2260,693.02,0.07,10,97.36,3.5,0.59,69.30199999999999,9.736,0.35,543.6486
Ord_1375,Prod_15,SHP_1894,2703.37,0.09,18,-231.6,57.2,0.59,150.1872222222222,-12.866666666666667,3.177777777777778,2634.4667
Ord_1317,Prod_2,SHP_1813,186.44,0.0,45,-157.18,5.13,0.59,4.143111111111111,-3.492888888888889,0.114,338.49
Ord_1649,Prod_4,SHP_2278,2209.5155,0.06,41,458.62,5.31,0.57,53.890621951219515,11.185853658536585,0.12951219512195122,1613.0145700000003
Ord_1375,Prod_1,SHP_1895,1538.17,0.02,39,-1119.64,35.0,0.8,39.44025641025641,-28.70871794871795,0.8974358974358975,2592.0466
Ord_1649,Prod_2,SHP_2277,3005.74,0.02,48,1053.21,3.99,0.57,62.61958333333333,21.941875,0.083125,1888.4252000000001
Ord_1635,Prod_1,SHP_2256,857.84,0.02,39,-309.43,11.52,0.83,21.995897435897437,-7.934102564102564,0.29538461538461536,1138.5932
Ord_1520,Prod_6,SHP_2099,30.47,0.02,4,-10.7,5.15,0.36,7.6175,-2.675,1.2875,35.4106
Ord_1635,Prod_6,SHP_2256,1072.36,0.04,36,440.48,4.86,0.38,29.787777777777777,12.235555555555557,0.135,584.1256000000001
Ord_1503,Prod_8,SHP_2078,731.71,0.0,24,175.82,1.99,0.5,30.487916666666667,7.325833333333333,0.08291666666666667,553.9000000000001
Ord_1637,Prod_13,SHP_2259,64.34,0.09,11,-8.37,2.27,0.56,5.84909090909091,-0.7609090909090909,0.20636363636363636,64.6494
Ord_1503,Prod_8,SHP_2077,378.08,0.0,17,70.48,1.99,0.43,22.24,4.145882352941177,0.11705882352941177,305.60999999999996
Ord_1395,Prod_13,SHP_1926,138.96,0.03,49,19.87,0.7,0.56,2.835918367346939,0.4055102040816327,0.014285714285714285,114.22120000000001
Ord_1517,Prod_13,SHP_2095,136.49,0.1,15,36.23,1.09,0.43,9.099333333333334,2.4153333333333333,0.07266666666666667,85.52100000000002
Ord_1481,Prod_6,SHP_2044,393.31,0.04,20,84.3,5.86,0.38,19.6655,4.215,0.29300000000000004,287.4176
Ord_1519,Prod_10,SHP_2098,2701.69,0.05,33,-926.33,55.81,0.6,81.86939393939394,-28.07060606060606,1.6912121212121214,3437.1255
Ord_1395,Prod_3,SHP_1926,158.97,0.08,39,-30.27,2.99,0.37,4.076153846153846,-0.7761538461538462,0.07666666666666667,173.5324
Ord_1348,Prod_13,SHP_1854,68.97,0.02,24,0.77,0.97,0.59,2.87375,0.03208333333333333,0.04041666666666666,65.8506
Ord_1348,Prod_6,SHP_1853,199.8,0.08,31,-96.59,6.81,0.36,6.445161290322581,-3.115806451612903,0.2196774193548387,273.596
Ord_4646,Prod_15,SHP_6475,4083.19,0.07,43,-1049.85,45.0,0.69,94.95790697674418,-24.415116279069764,1.0465116279069768,4802.2167
Ord_4646,Prod_1,SHP_6476,4902.38,0.05,32,1438.49,7.07,0.59,153.199375,44.9528125,0.2209375,3211.701000000001
Ord_4702,Prod_3,SHP_6560,80.81,0.1,19,-67.46,5.41,0.35,4.253157894736842,-3.5505263157894733,0.2847368421052632,134.779
Ord_2973,Prod_4,SHP_4102,4671.1495,0.07,28,947.31,4.2,0.59,166.82676785714287,33.832499999999996,0.15,3392.659035000001
Ord_2973,Prod_4,SHP_4102,6264.1855,0.01,34,1312.04,19.99,0.6,184.24075,38.58941176470588,0.5879411764705882,4869.513645
Ord_4572,Prod_6,SHP_6360,377.83,0.06,41,122.06,2.15,0.4,9.215365853658536,2.9770731707317073,0.0524390243902439,230.9502
Ord_1995,Prod_6,SHP_2724,240.14,0.06,36,57.78,2.0,0.39,6.670555555555556,1.605,0.05555555555555555,165.95159999999998
Ord_1915,Prod_6,SHP_2623,980.95,0.02,41,234.68,8.18,0.39,23.92560975609756,5.72390243902439,0.1995121951219512,718.471
Ord_2273,Prod_5,SHP_3101,180.43,0.02,8,-44.86,11.17,0.6,22.55375,-5.6075,1.39625,210.51140000000004
Ord_2273,Prod_8,SHP_3101,2899.98,0.1,19,666.01,5.5,0.49,152.63052631578947,35.05315789473684,0.2894736842105263,1938.472
Ord_2273,Prod_6,SHP_3102,233.38,0.1,36,-180.17,8.73,0.37,6.482777777777778,-5.004722222222222,0.24250000000000002,381.48199999999997
Ord_2246,Prod_2,SHP_3054,294.52,0.09,14,15.34,5.94,0.5,21.037142857142857,1.0957142857142856,0.4242857142857143,246.73319999999998
Ord_2273,Prod_4,SHP_3100,1077.8085,0.06,20,17.25,8.99,0.56,53.89042500000001,0.8625,0.4495,986.8999900000001
Ord_5153,Prod_13,SHP_7201,176.5,0.01,46,-119.35,4.17,0.59,3.8369565217391304,-2.5945652173913043,0.09065217391304348,289.915
Ord_5153,Prod_1,SHP_7201,1546.8,0.07,42,25.51,12.9,0.57,36.82857142857143,0.6073809523809525,0.30714285714285716,1400.1139999999998
Ord_5239,Prod_13,SHP_7318,452.28,0.09,48,-21.0,4.82,0.47,9.4225,-0.4375,0.10041666666666667,427.7548
Ord_5157,Prod_15,SHP_7208,5149.06,0.03,27,605.44,30.0,0.69,190.70592592592595,22.423703703703705,1.1111111111111112,4359.1482
Ord_5230,Prod_4,SHP_7304,2197.4115,0.0,20,305.96,7.69,0.58,109.870575,15.297999999999998,0.3845,1883.7615
Ord_5153,Prod_11,SHP_7202,3457.56,0.02,35,-365.44,51.94,0.63,98.78742857142856,-10.441142857142857,1.484,3701.9088
Ord_5159,Prod_5,SHP_7210,2213.92,0.03,20,768.34,13.99,0.65,110.696,38.417,0.6995,1365.1724000000004
Ord_5239,Prod_13,SHP_7318,55.82,0.01,18,14.19,0.81,0.4,3.101111111111111,0.7883333333333333,0.045000000000000005,40.2618
Ord_2791,Prod_12,SHP_3837,68.54,0.1,25,22.2,0.5,0.39,2.7416,0.888,0.02,38.986000000000004
Ord_2739,Prod_5,SHP_3758,363.92,0.0,44,-144.56,7.96,0.49,8.270909090909091,-3.2854545454545456,0.1809090909090909,500.52000000000004
Ord_2585,Prod_11,SHP_3540,7287.55,0.04,24,-715.78,54.12,0.76,303.6479166666667,-29.824166666666667,2.255,7657.708
Ord_2653,Prod_6,SHP_3630,306.3,0.07,34,18.73,4.39,0.38,9.008823529411766,0.5508823529411765,0.12911764705882353,261.73900000000003
Ord_2691,Prod_5,SHP_3685,311.19,0.03,33,-9.18,4.93,0.57,9.43,-0.2781818181818182,0.14939393939393938,306.1043
Ord_2653,Prod_13,SHP_3630,163.98,0.01,42,55.73,0.7,0.44,3.904285714285714,1.3269047619047618,0.016666666666666666,105.9102
Ord_2725,Prod_9,SHP_3735,806.08,0.08,31,402.37,1.39,0.38,26.00258064516129,12.97967741935484,0.044838709677419354,337.83360000000005
Ord_2725,Prod_1,SHP_3736,70.02,0.0,4,-30.63,8.78,0.57,17.505,-7.6575,2.195,91.86999999999999
Ord_4675,Prod_12,SHP_6519,92.94,0.09,20,37.77,0.5,0.36,4.647,1.8885,0.025,46.3054
Ord_4784,Prod_5,SHP_6668,952.21,0.05,50,403.83,3.62,0.43,19.0442,8.0766,0.0724,497.14950000000005
Ord_4730,Prod_1,SHP_6598,8230.77,0.05,50,1577.02,19.99,0.66,164.61540000000002,31.540399999999998,0.3998,6222.2215000000015
Ord_2987,Prod_8,SHP_4127,990.73,0.02,30,56.39,4.0,0.75,33.02433333333333,1.8796666666666666,0.13333333333333333,910.5254
Ord_3729,Prod_13,SHP_5174,493.43,0.07,26,120.18,4.1,0.44,18.978076923076923,4.622307692307692,0.1576923076923077,334.6099
Ord_3733,Prod_9,SHP_5847,142.12,0.01,13,54.91,1.39,0.39,10.932307692307692,4.223846153846154,0.10692307692307691,84.39880000000002
Ord_4204,Prod_4,SHP_5861,277.0745,0.03,41,-128.44,5.03,0.6,6.757914634146341,-3.1326829268292684,0.1226829268292683,392.17226500000004
Ord_4217,Prod_11,SHP_5884,7413.29,0.01,49,1148.23,16.01,0.7,151.2916326530612,23.43326530612245,0.32673469387755105,6174.917100000001
Ord_4217,Prod_6,SHP_5883,60.02,0.1,16,0.94,1.93,0.35,3.75125,0.05875,0.120625,51.148
Ord_4217,Prod_3,SHP_5882,315.45,0.01,40,-305.88,11.51,0.36,7.8862499999999995,-7.647,0.28775,606.6655000000001
Ord_3730,Prod_16,SHP_5175,459.08,0.04,34,61.57,3.14,0.6,13.50235294117647,1.8108823529411764,0.0923529411764706,376.0068
Ord_3733,Prod_4,SHP_5178,553.3415,0.08,33,-67.71,0.99,0.83,16.767924242424243,-2.0518181818181818,0.03,575.79418
Ord_3731,Prod_13,SHP_5176,193.7,0.06,20,-14.99,4.82,0.47,9.684999999999999,-0.7495,0.24100000000000002,192.24800000000002
Ord_3729,Prod_6,SHP_5173,354.96,0.07,43,151.27,1.43,0.35,8.254883720930232,3.5179069767441864,0.033255813953488374,177.41279999999998
Ord_3729,Prod_6,SHP_5174,130.97,0.09,26,-83.42,6.07,0.36,5.037307692307692,-3.2084615384615387,0.23346153846153847,196.53269999999998
