"ship_id","modo_entrega","data_pedido"
SHP_101,REGULAR AIR,2012-09-19
SHP_102,REGULAR AIR,2012-09-21
SHP_103,REGULAR AIR,2011-12-28
SHP_104,REGULAR AIR,2012-03-24
SHP_105,REGULAR AIR,2011-10-17
SHP_106,DELIVERY TRUCK,2010-08-08
SHP_107,REGULAR AIR,2009-03-10
SHP_108,REGULAR AIR,2010-02-09
SHP_109,DELIVERY TRUCK,2010-02-11
SHP_110,REGULAR AIR,2009-01-17
SHP_111,REGULAR AIR,2009-01-19
SHP_112,DELIVERY TRUCK,2010-08-31
SHP_113,REGULAR AIR,2010-08-31
SHP_114,REGULAR AIR,2009-09-12
SHP_115,REGULAR AIR,2009-07-17
SHP_116,REGULAR AIR,2012-11-20
SHP_117,REGULAR AIR,2011-09-14
SHP_118,REGULAR AIR,2011-04-13
SHP_119,EXPRESS AIR,2011-04-13
SHP_120,REGULAR AIR,2011-04-11
SHP_121,REGULAR AIR,2011-10-11
SHP_122,REGULAR AIR,2011-10-10
SHP_123,DELIVERY TRUCK,2012-10-25
SHP_124,REGULAR AIR,2012-01-08
SHP_125,REGULAR AIR,2010-01-27
SHP_126,DELIVERY TRUCK,2010-01-26
SHP_127,REGULAR AIR,2011-01-29
SHP_128,DELIVERY TRUCK,2011-01-27
SHP_129,REGULAR AIR,2009-08-29
SHP_130,DELIVERY TRUCK,2011-03-19
SHP_131,REGULAR AIR,2011-03-18
SHP_132,REGULAR AIR,2012-06-08
SHP_133,DELIVERY TRUCK,2011-04-13
SHP_134,EXPRESS AIR,2011-04-14
SHP_135,REGULAR AIR,2011-04-12
SHP_136,REGULAR AIR,2012-11-10
SHP_137,EXPRESS AIR,2012-11-15
SHP_138,REGULAR AIR,2012-05-17
SHP_139,REGULAR AIR,2012-04-11
SHP_140,REGULAR AIR,2012-08-07
SHP_141,REGULAR AIR,2009-07-23
SHP_142,REGULAR AIR,2010-05-11
SHP_143,DELIVERY TRUCK,2009-02-20
SHP_144,DELIVERY TRUCK,2009-02-18
SHP_145,REGULAR AIR,2012-06-28
SHP_146,EXPRESS AIR,2012-06-29
SHP_147,REGULAR AIR,2010-10-01
SHP_148,REGULAR AIR,2010-04-16
SHP_149,REGULAR AIR,2010-04-15
SHP_150,DELIVERY TRUCK,2011-09-15
SHP_151,DELIVERY TRUCK,2010-09-22
SHP_152,REGULAR AIR,2010-08-19
SHP_153,REGULAR AIR,2009-09-16
SHP_154,DELIVERY TRUCK,2009-06-23
SHP_155,DELIVERY TRUCK,2012-08-30
SHP_156,REGULAR AIR,2011-06-09
SHP_157,REGULAR AIR,2009-10-11
SHP_158,REGULAR AIR,2009-10-09
SHP_159,REGULAR AIR,2009-10-10
SHP_160,REGULAR AIR,2010-12-07
SHP_161,REGULAR AIR,2009-06-09
SHP_162,REGULAR AIR,2009-07-28
SHP_163,EXPRESS AIR,2011-09-10
SHP_164,REGULAR AIR,2009-01-12
SHP_165,REGULAR AIR,2010-08-15
SHP_166,REGULAR AIR,2010-08-17
SHP_167,REGULAR AIR,2009-08-06
SHP_168,DELIVERY TRUCK,2011-09-19
SHP_169,EXPRESS AIR,2011-10-24
SHP_170,REGULAR AIR,2009-11-15
SHP_171,REGULAR AIR,2009-11-16
SHP_172,REGULAR AIR,2010-07-04
SHP_173,REGULAR AIR,2010-07-05
SHP_174,REGULAR AIR,2009-02-04
SHP_175,REGULAR AIR,2012-03-17
SHP_176,REGULAR AIR,2009-08-10
SHP_177,REGULAR AIR,2010-04-08
SHP_178,REGULAR AIR,2010-04-03
SHP_179,REGULAR AIR,2010-07-31
SHP_180,REGULAR AIR,2009-06-05
SHP_181,REGULAR AIR,2010-10-13
SHP_182,EXPRESS AIR,2010-05-19
SHP_183,REGULAR AIR,2011-02-08
SHP_184,REGULAR AIR,2010-12-09
SHP_185,DELIVERY TRUCK,2009-01-07
SHP_186,DELIVERY TRUCK,2012-03-14
SHP_187,REGULAR AIR,2010-09-02
SHP_188,REGULAR AIR,2010-08-30
SHP_189,REGULAR AIR,2011-06-22
SHP_190,REGULAR AIR,2010-08-04
SHP_191,REGULAR AIR,2010-08-06
SHP_192,REGULAR AIR,2010-11-25
SHP_193,DELIVERY TRUCK,2009-08-03
SHP_194,REGULAR AIR,2011-08-11
SHP_195,DELIVERY TRUCK,2011-08-10
SHP_196,DELIVERY TRUCK,2010-05-08
SHP_197,DELIVERY TRUCK,2012-07-05
SHP_198,REGULAR AIR,2012-07-03
SHP_199,REGULAR AIR,2011-03-24
SHP_200,EXPRESS AIR,2011-11-21
SHP_201,DELIVERY TRUCK,2012-12-03
SHP_202,REGULAR AIR,2010-08-01
SHP_203,EXPRESS AIR,2010-07-30
SHP_204,REGULAR AIR,2012-05-17
SHP_205,REGULAR AIR,2012-03-03
SHP_206,REGULAR AIR,2012-03-04
SHP_207,REGULAR AIR,2010-08-21
SHP_208,DELIVERY TRUCK,2010-06-29
SHP_209,REGULAR AIR,2010-06-28
SHP_210,REGULAR AIR,2012-10-30
SHP_211,DELIVERY TRUCK,2010-01-19
SHP_212,EXPRESS AIR,2012-07-08
SHP_213,REGULAR AIR,2011-08-10
SHP_214,EXPRESS AIR,2011-08-10
SHP_215,REGULAR AIR,2010-02-22
SHP_216,REGULAR AIR,2011-06-22
SHP_217,REGULAR AIR,2009-09-04
SHP_218,EXPRESS AIR,2009-09-07
SHP_219,REGULAR AIR,2009-09-05
SHP_220,REGULAR AIR,2009-06-22
SHP_221,REGULAR AIR,2012-02-10
SHP_222,REGULAR AIR,2009-03-14
SHP_223,REGULAR AIR,2009-03-12
SHP_224,EXPRESS AIR,2009-03-11
SHP_225,REGULAR AIR,2011-06-06
SHP_226,REGULAR AIR,2012-03-11
SHP_227,DELIVERY TRUCK,2011-08-14
SHP_228,REGULAR AIR,2011-08-14
SHP_229,REGULAR AIR,2009-09-03
SHP_230,REGULAR AIR,2010-01-27
SHP_231,REGULAR AIR,2011-09-04
SHP_232,DELIVERY TRUCK,2011-09-04
SHP_233,REGULAR AIR,2012-02-09
SHP_234,REGULAR AIR,2012-02-10
SHP_235,REGULAR AIR,2011-03-21
SHP_236,REGULAR AIR,2011-05-10
SHP_237,REGULAR AIR,2009-09-27
SHP_238,REGULAR AIR,2009-09-25
SHP_239,REGULAR AIR,2012-07-11
SHP_240,REGULAR AIR,2010-01-15
SHP_241,REGULAR AIR,2009-08-27
SHP_242,REGULAR AIR,2009-10-09
SHP_243,REGULAR AIR,2011-11-13
SHP_244,REGULAR AIR,2012-04-15
SHP_245,REGULAR AIR,2012-01-03
SHP_246,REGULAR AIR,2011-03-09
SHP_247,REGULAR AIR,2009-07-04
SHP_248,DELIVERY TRUCK,2009-07-04
SHP_249,DELIVERY TRUCK,2011-04-17
SHP_250,REGULAR AIR,2011-11-26
SHP_251,DELIVERY TRUCK,2011-11-26
SHP_252,REGULAR AIR,2012-04-26
SHP_253,REGULAR AIR,2011-03-27
SHP_254,REGULAR AIR,2011-03-28
SHP_255,REGULAR AIR,2010-07-18
SHP_256,REGULAR AIR,2010-10-25
SHP_257,REGULAR AIR,2009-08-26
SHP_258,REGULAR AIR,2011-06-13
SHP_259,DELIVERY TRUCK,2012-11-24
SHP_260,DELIVERY TRUCK,2012-11-25
SHP_261,REGULAR AIR,2012-11-25
SHP_262,REGULAR AIR,2009-05-01
SHP_263,REGULAR AIR,2012-05-12
SHP_264,REGULAR AIR,2012-05-13
SHP_265,REGULAR AIR,2010-10-17
SHP_266,EXPRESS AIR,2010-10-18
SHP_267,REGULAR AIR,2010-10-16
SHP_268,REGULAR AIR,2011-07-28
SHP_269,REGULAR AIR,2011-07-23
SHP_270,REGULAR AIR,2011-07-11
SHP_271,REGULAR AIR,2012-09-19
SHP_272,EXPRESS AIR,2012-09-18
SHP_273,REGULAR AIR,2009-01-17
SHP_274,EXPRESS AIR,2010-10-22
SHP_275,REGULAR AIR,2010-10-25
SHP_276,REGULAR AIR,2010-08-30
SHP_277,REGULAR AIR,2010-08-31
SHP_278,REGULAR AIR,2010-05-09
SHP_279,REGULAR AIR,2011-06-22
SHP_280,DELIVERY TRUCK,2010-11-26
SHP_281,REGULAR AIR,2012-04-29
SHP_282,REGULAR AIR,2012-08-30
SHP_283,REGULAR AIR,2011-08-02
SHP_284,REGULAR AIR,2011-08-01
SHP_285,REGULAR AIR,2012-10-07
SHP_286,REGULAR AIR,2012-10-08
SHP_287,REGULAR AIR,2010-02-07
SHP_288,EXPRESS AIR,2010-02-08
SHP_289,REGULAR AIR,2011-10-18
SHP_290,REGULAR AIR,2009-08-23
SHP_291,REGULAR AIR,2009-08-21
SHP_292,DELIVERY TRUCK,2009-08-22
SHP_293,REGULAR AIR,2010-06-17
SHP_294,REGULAR AIR,2010-06-15
SHP_295,REGULAR AIR,2010-06-16
SHP_296,EXPRESS AIR,2010-06-16
SHP_297,DELIVERY TRUCK,2010-02-27
SHP_298,REGULAR AIR,2009-08-18
SHP_299,REGULAR AIR,2009-08-16
SHP_300,REGULAR AIR,2011-05-15
SHP_301,REGULAR AIR,2010-10-08
SHP_302,REGULAR AIR,2010-10-09
SHP_303,REGULAR AIR,2009-10-24
SHP_304,REGULAR AIR,2009-10-25
SHP_305,REGULAR AIR,2010-06-11
SHP_306,REGULAR AIR,2011-01-10
SHP_307,DELIVERY TRUCK,2011-01-12
SHP_308,EXPRESS AIR,2009-01-30
SHP_309,REGULAR AIR,2011-03-30
SHP_310,REGULAR AIR,2011-04-01
SHP_311,REGULAR AIR,2010-11-22
SHP_312,REGULAR AIR,2011-05-31
SHP_313,REGULAR AIR,2012-05-14
SHP_314,EXPRESS AIR,2010-06-09
SHP_315,REGULAR AIR,2009-11-30
SHP_316,REGULAR AIR,2012-09-01
SHP_317,REGULAR AIR,2010-02-28
SHP_318,EXPRESS AIR,2010-02-27
SHP_319,REGULAR AIR,2012-05-22
SHP_320,REGULAR AIR,2009-11-09
SHP_321,REGULAR AIR,2010-08-29
SHP_322,REGULAR AIR,2012-08-18
SHP_323,DELIVERY TRUCK,2012-08-18
SHP_324,REGULAR AIR,2012-11-10
SHP_325,REGULAR AIR,2012-11-11
SHP_326,DELIVERY TRUCK,2011-06-02
SHP_327,REGULAR AIR,2011-08-13
SHP_328,REGULAR AIR,2011-08-11
SHP_329,REGULAR AIR,2011-08-12
SHP_330,REGULAR AIR,2009-03-06
SHP_331,REGULAR AIR,2010-06-08
SHP_332,REGULAR AIR,2012-02-19
SHP_333,DELIVERY TRUCK,2012-02-29
SHP_334,REGULAR AIR,2012-03-02
SHP_335,REGULAR AIR,2009-10-16
SHP_336,REGULAR AIR,2009-03-14
SHP_337,DELIVERY TRUCK,2010-03-14
SHP_338,REGULAR AIR,2009-07-09
SHP_339,REGULAR AIR,2012-11-23
SHP_340,REGULAR AIR,2012-11-28
SHP_341,REGULAR AIR,2009-03-03
SHP_342,REGULAR AIR,2011-09-24
SHP_343,REGULAR AIR,2011-07-23
SHP_344,EXPRESS AIR,2009-07-15
SHP_345,REGULAR AIR,2010-03-29
SHP_346,REGULAR AIR,2010-04-01
SHP_347,EXPRESS AIR,2010-02-08
SHP_348,DELIVERY TRUCK,2012-09-19
SHP_349,REGULAR AIR,2010-12-24
SHP_350,REGULAR AIR,2009-06-01
SHP_351,REGULAR AIR,2012-12-22
SHP_352,REGULAR AIR,2012-02-16
SHP_353,REGULAR AIR,2010-07-05
SHP_354,EXPRESS AIR,2011-05-18
SHP_355,REGULAR AIR,2010-03-10
SHP_356,REGULAR AIR,2009-04-28
SHP_357,REGULAR AIR,2012-04-10
SHP_358,REGULAR AIR,2011-01-02
SHP_359,REGULAR AIR,2010-02-02
SHP_360,EXPRESS AIR,2010-02-03
SHP_361,REGULAR AIR,2012-04-16
SHP_362,REGULAR AIR,2010-05-20
SHP_363,DELIVERY TRUCK,2010-05-20
SHP_364,REGULAR AIR,2009-07-28
SHP_365,EXPRESS AIR,2009-04-02
SHP_366,EXPRESS AIR,2012-06-13
SHP_367,REGULAR AIR,2010-09-02
SHP_368,DELIVERY TRUCK,2012-08-11
SHP_369,REGULAR AIR,2010-05-09
SHP_370,REGULAR AIR,2010-05-08
SHP_371,REGULAR AIR,2011-08-25
SHP_372,REGULAR AIR,2010-09-23
SHP_373,REGULAR AIR,2012-06-30
SHP_374,REGULAR AIR,2011-01-17
SHP_375,REGULAR AIR,2010-10-12
SHP_376,REGULAR AIR,2011-06-11
SHP_377,REGULAR AIR,2012-07-05
SHP_378,REGULAR AIR,2010-03-16
SHP_379,REGULAR AIR,2010-11-15
SHP_380,REGULAR AIR,2009-11-14
SHP_381,REGULAR AIR,2009-11-15
SHP_382,REGULAR AIR,2011-09-14
SHP_383,REGULAR AIR,2009-11-25
SHP_384,REGULAR AIR,2010-07-12
SHP_385,REGULAR AIR,2009-03-07
SHP_386,DELIVERY TRUCK,2011-02-21
SHP_387,REGULAR AIR,2011-02-19
SHP_388,EXPRESS AIR,2011-11-20
SHP_389,REGULAR AIR,2011-06-05
SHP_390,REGULAR AIR,2010-05-25
SHP_391,DELIVERY TRUCK,2010-05-27
SHP_392,REGULAR AIR,2009-05-31
SHP_393,REGULAR AIR,2012-08-30
SHP_394,REGULAR AIR,2011-12-17
SHP_395,REGULAR AIR,2009-12-10
SHP_396,REGULAR AIR,2012-07-03
SHP_397,REGULAR AIR,2010-12-26
SHP_398,REGULAR AIR,2011-05-21
SHP_399,DELIVERY TRUCK,2012-01-13
SHP_400,REGULAR AIR,2011-10-05
SHP_401,EXPRESS AIR,2010-03-07
SHP_402,REGULAR AIR,2010-03-07
SHP_403,REGULAR AIR,2011-11-07
SHP_404,DELIVERY TRUCK,2011-11-05
SHP_405,DELIVERY TRUCK,2009-01-07
SHP_406,REGULAR AIR,2010-11-27
SHP_407,EXPRESS AIR,2011-04-09
SHP_408,REGULAR AIR,2011-04-09
SHP_409,REGULAR AIR,2010-04-01
SHP_410,REGULAR AIR,2012-03-11
SHP_411,REGULAR AIR,2009-02-22
SHP_412,REGULAR AIR,2009-02-21
SHP_413,DELIVERY TRUCK,2009-10-01
SHP_414,REGULAR AIR,2012-11-02
SHP_415,DELIVERY TRUCK,2011-07-23
SHP_416,REGULAR AIR,2010-11-25
SHP_417,REGULAR AIR,2010-02-07
SHP_418,REGULAR AIR,2011-01-06
SHP_419,REGULAR AIR,2009-08-04
SHP_420,REGULAR AIR,2010-06-06
SHP_421,DELIVERY TRUCK,2009-08-03
SHP_422,REGULAR AIR,2010-12-30
SHP_423,REGULAR AIR,2012-10-11
SHP_424,EXPRESS AIR,2011-04-04
SHP_425,REGULAR AIR,2009-11-28
SHP_426,REGULAR AIR,2009-11-25
SHP_427,DELIVERY TRUCK,2012-04-12
SHP_428,REGULAR AIR,2010-02-18
SHP_429,REGULAR AIR,2010-09-26
SHP_430,EXPRESS AIR,2009-02-21
SHP_431,DELIVERY TRUCK,2009-02-26
SHP_432,REGULAR AIR,2012-11-13
SHP_433,REGULAR AIR,2011-10-29
SHP_434,REGULAR AIR,2009-12-23
SHP_435,REGULAR AIR,2010-05-07
SHP_436,REGULAR AIR,2011-01-09
SHP_437,REGULAR AIR,2012-07-11
SHP_438,REGULAR AIR,2012-07-10
SHP_439,EXPRESS AIR,2012-07-09
SHP_440,REGULAR AIR,2009-03-10
SHP_441,DELIVERY TRUCK,2012-01-01
SHP_442,DELIVERY TRUCK,2012-01-02
SHP_443,REGULAR AIR,2011-12-31
SHP_444,REGULAR AIR,2009-03-31
SHP_445,REGULAR AIR,2011-02-15
SHP_446,REGULAR AIR,2011-01-28
SHP_447,REGULAR AIR,2011-01-30
SHP_448,REGULAR AIR,2012-09-08
SHP_449,REGULAR AIR,2012-09-09
SHP_450,DELIVERY TRUCK,2009-05-18
SHP_451,REGULAR AIR,2012-08-02
SHP_452,DELIVERY TRUCK,2012-08-03
SHP_453,EXPRESS AIR,2012-04-24
SHP_454,REGULAR AIR,2012-07-19
SHP_455,REGULAR AIR,2012-09-23
SHP_456,REGULAR AIR,2010-05-22
SHP_457,REGULAR AIR,2009-12-04
SHP_458,DELIVERY TRUCK,2010-06-02
SHP_459,REGULAR AIR,2010-09-26
SHP_460,REGULAR AIR,2012-11-20
SHP_461,REGULAR AIR,2010-12-16
SHP_462,REGULAR AIR,2012-10-27
SHP_463,REGULAR AIR,2010-06-18
SHP_464,REGULAR AIR,2012-07-03
SHP_465,REGULAR AIR,2009-02-06
SHP_466,EXPRESS AIR,2011-08-27
SHP_467,REGULAR AIR,2009-06-27
SHP_468,REGULAR AIR,2010-05-03
SHP_469,REGULAR AIR,2009-04-09
SHP_470,REGULAR AIR,2011-09-11
SHP_471,DELIVERY TRUCK,2011-04-16
SHP_472,DELIVERY TRUCK,2011-02-15
SHP_473,REGULAR AIR,2011-02-15
SHP_474,REGULAR AIR,2011-07-31
SHP_475,REGULAR AIR,2010-08-12
SHP_476,REGULAR AIR,2010-08-11
SHP_477,REGULAR AIR,2009-04-06
SHP_478,REGULAR AIR,2010-10-28
SHP_479,DELIVERY TRUCK,2010-10-27
SHP_480,EXPRESS AIR,2012-05-30
SHP_481,REGULAR AIR,2012-06-02
SHP_482,REGULAR AIR,2012-09-12
SHP_483,REGULAR AIR,2012-09-15
SHP_484,REGULAR AIR,2012-09-14
SHP_485,REGULAR AIR,2011-03-16
SHP_486,REGULAR AIR,2011-06-19
SHP_487,REGULAR AIR,2011-01-13
SHP_488,REGULAR AIR,2011-01-20
SHP_489,REGULAR AIR,2011-01-16
SHP_490,REGULAR AIR,2009-03-06
SHP_491,EXPRESS AIR,2009-03-06
SHP_492,REGULAR AIR,2009-12-21
SHP_493,REGULAR AIR,2009-12-14
SHP_494,REGULAR AIR,2009-02-04
SHP_495,REGULAR AIR,2009-02-05
SHP_496,EXPRESS AIR,2009-09-02
SHP_497,REGULAR AIR,2012-03-10
SHP_498,DELIVERY TRUCK,2009-11-21
SHP_499,DELIVERY TRUCK,2009-11-19
SHP_500,EXPRESS AIR,2010-07-26
SHP_501,REGULAR AIR,2010-08-07
SHP_502,REGULAR AIR,2010-08-06
SHP_503,REGULAR AIR,2011-03-08
SHP_504,REGULAR AIR,2011-10-22
SHP_505,REGULAR AIR,2009-08-05
SHP_506,DELIVERY TRUCK,2010-04-30
SHP_507,DELIVERY TRUCK,2010-05-03
SHP_508,REGULAR AIR,2009-04-26
SHP_509,REGULAR AIR,2011-12-06
SHP_510,REGULAR AIR,2010-08-07
SHP_511,REGULAR AIR,2011-09-17
SHP_512,REGULAR AIR,2009-10-03
SHP_513,REGULAR AIR,2009-03-02
SHP_514,REGULAR AIR,2009-06-25
SHP_515,EXPRESS AIR,2009-06-26
SHP_516,REGULAR AIR,2011-01-17
SHP_517,REGULAR AIR,2012-01-22
SHP_518,REGULAR AIR,2012-01-20
SHP_519,REGULAR AIR,2010-05-23
SHP_520,DELIVERY TRUCK,2012-03-16
SHP_521,REGULAR AIR,2012-03-16
SHP_522,REGULAR AIR,2011-08-08
SHP_523,REGULAR AIR,2011-08-10
SHP_524,REGULAR AIR,2011-05-22
SHP_525,DELIVERY TRUCK,2011-05-22
SHP_526,EXPRESS AIR,2010-12-24
SHP_527,REGULAR AIR,2009-07-08
SHP_528,REGULAR AIR,2009-05-28
SHP_529,EXPRESS AIR,2011-06-22
SHP_530,REGULAR AIR,2012-08-23
SHP_531,EXPRESS AIR,2012-08-23
SHP_532,DELIVERY TRUCK,2011-01-27
SHP_533,DELIVERY TRUCK,2012-12-04
SHP_534,REGULAR AIR,2010-09-08
SHP_535,EXPRESS AIR,2011-04-03
SHP_536,REGULAR AIR,2011-03-29
SHP_537,REGULAR AIR,2010-08-21
SHP_538,EXPRESS AIR,2010-12-02
SHP_539,REGULAR AIR,2010-12-02
SHP_540,DELIVERY TRUCK,2010-12-04
SHP_541,REGULAR AIR,2011-03-27
SHP_542,REGULAR AIR,2009-12-22
SHP_543,REGULAR AIR,2009-12-20
SHP_544,REGULAR AIR,2011-05-06
SHP_545,REGULAR AIR,2010-10-25
SHP_546,REGULAR AIR,2010-10-26
SHP_547,REGULAR AIR,2010-05-13
SHP_548,REGULAR AIR,2010-04-13
SHP_549,REGULAR AIR,2009-01-26
SHP_550,EXPRESS AIR,2009-01-26
SHP_551,REGULAR AIR,2010-11-20
SHP_552,EXPRESS AIR,2010-11-19
SHP_553,DELIVERY TRUCK,2010-10-01
SHP_554,REGULAR AIR,2010-08-05
SHP_555,DELIVERY TRUCK,2011-06-15
SHP_556,REGULAR AIR,2010-05-07
SHP_557,REGULAR AIR,2010-09-01
SHP_558,REGULAR AIR,2012-11-01
SHP_559,REGULAR AIR,2009-07-16
SHP_560,REGULAR AIR,2009-07-17
SHP_561,DELIVERY TRUCK,2012-08-14
SHP_562,REGULAR AIR,2009-02-04
SHP_563,REGULAR AIR,2012-07-09
SHP_564,REGULAR AIR,2009-03-28
SHP_565,REGULAR AIR,2010-09-25
SHP_566,REGULAR AIR,2011-03-30
SHP_567,REGULAR AIR,2009-07-03
SHP_568,REGULAR AIR,2010-12-12
SHP_569,REGULAR AIR,2009-09-17
SHP_570,REGULAR AIR,2011-02-06
SHP_571,REGULAR AIR,2010-09-12
SHP_572,REGULAR AIR,2010-03-03
SHP_573,REGULAR AIR,2010-03-05
SHP_574,REGULAR AIR,2009-09-17
SHP_575,REGULAR AIR,2011-01-10
SHP_576,EXPRESS AIR,2011-01-14
SHP_577,REGULAR AIR,2011-07-28
SHP_578,REGULAR AIR,2009-12-25
SHP_579,REGULAR AIR,2012-11-01
SHP_580,REGULAR AIR,2009-12-24
SHP_581,REGULAR AIR,2012-04-17
SHP_582,REGULAR AIR,2011-05-15
SHP_583,EXPRESS AIR,2011-12-07
SHP_584,REGULAR AIR,2011-12-09
SHP_585,REGULAR AIR,2010-12-06
SHP_586,REGULAR AIR,2009-11-26
SHP_587,REGULAR AIR,2009-11-25
SHP_588,REGULAR AIR,2011-09-15
SHP_589,DELIVERY TRUCK,2011-09-15
SHP_590,REGULAR AIR,2010-12-05
SHP_591,DELIVERY TRUCK,2011-12-23
SHP_592,REGULAR AIR,2011-12-22
SHP_593,REGULAR AIR,2012-08-11
SHP_594,REGULAR AIR,2012-08-14
SHP_595,REGULAR AIR,2010-08-25
SHP_596,REGULAR AIR,2011-05-24
SHP_597,DELIVERY TRUCK,2012-11-19
SHP_598,REGULAR AIR,2012-06-30
SHP_599,EXPRESS AIR,2009-02-09
SHP_600,REGULAR AIR,2009-02-08
SHP_601,DELIVERY TRUCK,2009-12-26
SHP_602,REGULAR AIR,2011-09-28
SHP_603,REGULAR AIR,2011-09-24
SHP_604,REGULAR AIR,2011-09-23
SHP_605,REGULAR AIR,2009-02-17
SHP_606,DELIVERY TRUCK,2009-02-16
SHP_607,REGULAR AIR,2009-10-13
SHP_608,REGULAR AIR,2011-03-11
SHP_609,REGULAR AIR,2012-08-13
SHP_610,REGULAR AIR,2012-08-12
SHP_611,REGULAR AIR,2009-12-27
SHP_612,EXPRESS AIR,2012-07-01
SHP_613,EXPRESS AIR,2012-06-29
SHP_614,REGULAR AIR,2009-01-21
SHP_615,EXPRESS AIR,2012-05-22
SHP_616,REGULAR AIR,2009-03-19
SHP_617,DELIVERY TRUCK,2009-03-19
SHP_618,EXPRESS AIR,2009-03-20
