"ord_id","prioridade_pedidos","data_pedido"
Ord_104,NOT SPECIFIED,2010-05-09
Ord_105,NOT SPECIFIED,2009-02-18
Ord_106,HIGH,2012-06-27
Ord_107,MEDIUM,2010-09-30
Ord_108,CRITICAL,2010-04-15
Ord_109,NOT SPECIFIED,2011-09-14
Ord_110,HIGH,2010-09-21
Ord_111,NOT SPECIFIED,2010-08-17
Ord_112,LOW,2009-09-16
Ord_113,HIGH,2009-06-22
Ord_114,NOT SPECIFIED,2012-08-28
Ord_115,CRITICAL,2011-06-07
Ord_116,NOT SPECIFIED,2009-10-09
Ord_117,NOT SPECIFIED,2010-12-05
Ord_118,LOW,2009-06-07
Ord_119,CRITICAL,2009-07-27
Ord_120,LOW,2011-09-05
Ord_121,HIGH,2009-01-11
Ord_122,MEDIUM,2010-08-15
Ord_123,NOT SPECIFIED,2009-08-05
Ord_124,MEDIUM,2011-09-17
Ord_125,LOW,2011-10-22
Ord_126,MEDIUM,2009-11-14
Ord_127,MEDIUM,2010-07-03
Ord_128,LOW,2009-01-30
Ord_129,NOT SPECIFIED,2012-03-15
Ord_130,LOW,2009-08-10
Ord_131,LOW,2010-04-01
Ord_132,HIGH,2010-07-31
Ord_133,LOW,2009-05-29
Ord_134,HIGH,2010-10-11
Ord_135,HIGH,2010-05-18
Ord_136,CRITICAL,2011-02-08
Ord_137,CRITICAL,2010-12-07
Ord_138,CRITICAL,2009-01-06
Ord_139,CRITICAL,2012-03-12
Ord_140,LOW,2010-08-26
Ord_141,HIGH,2011-06-20
Ord_142,HIGH,2010-08-04
Ord_143,HIGH,2010-11-23
Ord_144,NOT SPECIFIED,2009-08-02
Ord_145,CRITICAL,2011-08-10
Ord_146,CRITICAL,2010-05-06
Ord_147,LOW,2012-06-28
Ord_148,MEDIUM,2011-03-23
Ord_149,CRITICAL,2011-11-19
Ord_150,LOW,2012-11-26
Ord_151,NOT SPECIFIED,2010-07-29
Ord_152,LOW,2012-05-12
Ord_153,HIGH,2012-03-03
Ord_154,HIGH,2010-08-20
Ord_155,NOT SPECIFIED,2010-06-27
Ord_156,CRITICAL,2012-10-29
Ord_157,NOT SPECIFIED,2010-01-16
Ord_158,LOW,2012-06-29
Ord_159,NOT SPECIFIED,2011-08-08
Ord_160,MEDIUM,2010-02-21
Ord_161,MEDIUM,2011-06-20
Ord_162,CRITICAL,2009-09-04
Ord_163,NOT SPECIFIED,2009-06-21
Ord_164,CRITICAL,2012-02-08
Ord_165,HIGH,2009-03-11
Ord_166,LOW,2011-06-04
Ord_167,LOW,2012-03-02
Ord_168,MEDIUM,2011-08-12
Ord_169,CRITICAL,2009-09-01
Ord_170,CRITICAL,2010-01-26
Ord_171,CRITICAL,2011-09-02
Ord_172,CRITICAL,2012-02-07
Ord_173,CRITICAL,2011-03-19
Ord_174,NOT SPECIFIED,2011-05-08
Ord_175,CRITICAL,2009-09-25
Ord_176,NOT SPECIFIED,2012-07-09
Ord_177,HIGH,2010-01-14
Ord_178,HIGH,2009-08-26
Ord_179,CRITICAL,2009-10-08
Ord_180,HIGH,2011-11-10
Ord_181,HIGH,2012-04-15
Ord_182,MEDIUM,2012-01-02
Ord_183,NOT SPECIFIED,2011-03-08
Ord_184,HIGH,2009-07-02
Ord_185,CRITICAL,2011-04-15
Ord_186,HIGH,2011-11-25
Ord_187,CRITICAL,2012-04-25
Ord_188,MEDIUM,2011-03-26
Ord_189,LOW,2010-07-14
Ord_190,NOT SPECIFIED,2010-10-23
Ord_191,NOT SPECIFIED,2009-08-24
Ord_192,LOW,2011-06-09
Ord_193,MEDIUM,2012-11-23
Ord_194,NOT SPECIFIED,2009-05-01
Ord_195,CRITICAL,2012-05-11
Ord_196,CRITICAL,2010-10-15
Ord_197,LOW,2011-07-23
Ord_198,CRITICAL,2011-07-11
Ord_199,CRITICAL,2012-09-16
Ord_200,MEDIUM,2009-01-16
Ord_201,LOW,2010-10-20
Ord_202,HIGH,2010-08-30
Ord_203,CRITICAL,2010-05-07
Ord_204,CRITICAL,2011-06-21
Ord_205,MEDIUM,2010-11-24
Ord_206,MEDIUM,2012-04-27
Ord_207,LOW,2012-08-28
Ord_208,HIGH,2011-07-31
Ord_209,MEDIUM,2012-10-06
Ord_210,NOT SPECIFIED,2010-02-06
Ord_211,NOT SPECIFIED,2011-10-17
Ord_212,NOT SPECIFIED,2009-08-20
Ord_213,CRITICAL,2010-06-14
Ord_214,NOT SPECIFIED,2010-02-27
Ord_215,HIGH,2009-08-15
Ord_216,HIGH,2011-05-14
Ord_217,CRITICAL,2010-10-07
Ord_218,NOT SPECIFIED,2009-10-23
Ord_219,MEDIUM,2010-06-09
Ord_220,NOT SPECIFIED,2011-01-10
Ord_221,CRITICAL,2009-01-30
Ord_222,LOW,2011-03-28
Ord_223,LOW,2010-11-22
Ord_224,NOT SPECIFIED,2011-05-30
Ord_225,HIGH,2012-05-13
Ord_226,MEDIUM,2010-06-08
Ord_227,MEDIUM,2009-11-29
Ord_228,HIGH,2012-09-01
Ord_229,MEDIUM,2010-02-26
Ord_230,MEDIUM,2012-05-21
Ord_231,NOT SPECIFIED,2009-11-08
Ord_232,MEDIUM,2010-08-27
Ord_233,HIGH,2012-08-17
Ord_234,HIGH,2012-11-09
Ord_235,CRITICAL,2011-06-02
Ord_236,HIGH,2011-08-10
Ord_237,LOW,2009-02-27
Ord_238,NOT SPECIFIED,2010-06-07
Ord_239,LOW,2012-02-17
Ord_240,LOW,2012-02-23
Ord_241,CRITICAL,2009-10-15
Ord_242,CRITICAL,2009-03-13
Ord_243,MEDIUM,2010-03-12
Ord_244,LOW,2009-07-07
Ord_245,LOW,2012-11-21
Ord_246,MEDIUM,2009-03-02
Ord_247,HIGH,2011-09-22
Ord_248,NOT SPECIFIED,2011-07-21
Ord_249,NOT SPECIFIED,2009-07-13
Ord_250,HIGH,2010-03-29
Ord_251,LOW,2010-02-06
Ord_252,LOW,2012-09-12
Ord_253,NOT SPECIFIED,2010-12-22
Ord_254,CRITICAL,2009-05-30
Ord_255,CRITICAL,2012-12-21
Ord_256,NOT SPECIFIED,2012-02-14
Ord_257,NOT SPECIFIED,2010-07-03
Ord_258,CRITICAL,2011-05-16
Ord_259,MEDIUM,2010-03-07
Ord_260,NOT SPECIFIED,2009-04-27
Ord_261,HIGH,2012-04-07
Ord_262,MEDIUM,2010-12-31
Ord_263,NOT SPECIFIED,2010-02-02
Ord_264,NOT SPECIFIED,2012-04-15
Ord_265,HIGH,2010-05-19
Ord_266,NOT SPECIFIED,2009-07-27
Ord_267,NOT SPECIFIED,2009-03-31
Ord_268,CRITICAL,2012-06-11
Ord_269,NOT SPECIFIED,2010-09-01
Ord_270,CRITICAL,2012-08-09
Ord_271,HIGH,2010-05-07
Ord_272,MEDIUM,2011-08-25
Ord_273,CRITICAL,2010-09-21
Ord_274,LOW,2012-06-30
Ord_275,CRITICAL,2011-01-17
Ord_276,CRITICAL,2010-10-10
Ord_277,HIGH,2011-06-09
Ord_278,LOW,2012-06-26
Ord_279,MEDIUM,2010-03-16
Ord_280,CRITICAL,2010-11-13
Ord_281,MEDIUM,2009-11-14
Ord_282,HIGH,2011-09-12
Ord_283,MEDIUM,2009-11-23
Ord_284,CRITICAL,2010-07-10
Ord_285,MEDIUM,2009-03-06
Ord_286,LOW,2011-02-17
Ord_287,HIGH,2011-11-19
Ord_288,CRITICAL,2011-06-03
Ord_289,HIGH,2010-05-25
Ord_290,NOT SPECIFIED,2009-05-30
Ord_291,HIGH,2012-08-30
Ord_292,CRITICAL,2011-12-16
Ord_293,NOT SPECIFIED,2009-12-09
Ord_294,CRITICAL,2012-07-03
Ord_295,HIGH,2010-12-24
Ord_296,LOW,2011-05-17
Ord_297,NOT SPECIFIED,2012-01-11
Ord_298,NOT SPECIFIED,2011-10-03
Ord_299,NOT SPECIFIED,2010-03-05
Ord_300,HIGH,2011-11-05
Ord_301,HIGH,2009-01-05
Ord_302,MEDIUM,2010-11-25
Ord_303,HIGH,2011-04-08
Ord_304,CRITICAL,2010-03-31
Ord_305,NOT SPECIFIED,2012-03-10
Ord_306,MEDIUM,2009-02-20
Ord_307,CRITICAL,2009-10-01
Ord_308,NOT SPECIFIED,2012-11-01
Ord_309,HIGH,2011-07-21
Ord_310,NOT SPECIFIED,2010-11-23
Ord_311,NOT SPECIFIED,2010-02-06
Ord_312,MEDIUM,2011-01-04
Ord_313,MEDIUM,2009-08-02
Ord_314,HIGH,2010-06-05
Ord_315,CRITICAL,2009-08-02
Ord_316,HIGH,2010-12-28
Ord_317,CRITICAL,2012-10-10
Ord_318,CRITICAL,2011-04-02
Ord_319,CRITICAL,2009-11-25
Ord_320,CRITICAL,2012-04-11
Ord_321,LOW,2010-02-16
Ord_322,HIGH,2010-09-24
Ord_323,LOW,2009-02-21
Ord_324,CRITICAL,2012-11-11
Ord_325,CRITICAL,2011-10-27
Ord_326,LOW,2009-12-16
Ord_327,CRITICAL,2010-05-07
Ord_328,MEDIUM,2011-01-08
Ord_329,HIGH,2012-07-09
Ord_330,HIGH,2009-03-09
Ord_331,HIGH,2011-12-30
Ord_332,NOT SPECIFIED,2009-03-29
Ord_333,CRITICAL,2011-02-13
Ord_334,NOT SPECIFIED,2011-01-28
Ord_335,MEDIUM,2012-09-08
Ord_336,CRITICAL,2009-05-18
Ord_337,LOW,2012-07-29
Ord_338,CRITICAL,2012-04-22
Ord_339,NOT SPECIFIED,2012-07-16
Ord_340,HIGH,2012-09-22
Ord_341,CRITICAL,2010-05-20
Ord_342,HIGH,2009-12-02
Ord_343,MEDIUM,2010-06-01
Ord_344,MEDIUM,2010-09-25
Ord_345,MEDIUM,2012-11-19
Ord_346,LOW,2010-12-14
Ord_347,LOW,2012-10-25
Ord_348,HIGH,2010-06-17
Ord_349,LOW,2012-06-29
Ord_350,LOW,2009-02-01
Ord_351,CRITICAL,2011-08-25
Ord_352,LOW,2009-06-20
Ord_353,CRITICAL,2010-05-03
Ord_354,LOW,2009-04-07
Ord_355,LOW,2011-09-02
Ord_356,MEDIUM,2011-04-14
Ord_357,NOT SPECIFIED,2011-02-13
Ord_358,MEDIUM,2011-07-30
Ord_359,MEDIUM,2010-08-10
Ord_360,HIGH,2009-04-06
Ord_361,HIGH,2010-10-26
Ord_362,LOW,2012-05-26
Ord_363,LOW,2012-09-10
Ord_364,LOW,2011-03-16
Ord_365,HIGH,2011-06-18
Ord_366,LOW,2011-01-11
Ord_367,NOT SPECIFIED,2009-03-05
Ord_368,LOW,2009-12-14
Ord_369,NOT SPECIFIED,2009-02-02
Ord_370,LOW,2009-08-26
Ord_371,LOW,2012-03-06
Ord_372,HIGH,2009-11-19
Ord_373,LOW,2010-07-24
Ord_374,MEDIUM,2010-08-04
Ord_375,MEDIUM,2011-03-07
Ord_376,NOT SPECIFIED,2011-10-20
Ord_377,NOT SPECIFIED,2009-08-04
Ord_378,LOW,2010-04-28
Ord_379,LOW,2009-04-22
Ord_380,HIGH,2011-12-04
Ord_381,NOT SPECIFIED,2010-08-06
Ord_382,LOW,2011-09-15
Ord_383,NOT SPECIFIED,2009-10-02
Ord_384,CRITICAL,2009-03-01
Ord_385,NOT SPECIFIED,2009-06-24
Ord_386,MEDIUM,2011-01-16
Ord_387,LOW,2012-01-20
Ord_388,CRITICAL,2010-05-21
Ord_389,NOT SPECIFIED,2012-03-15
Ord_390,MEDIUM,2011-08-07
Ord_391,HIGH,2011-05-21
Ord_392,NOT SPECIFIED,2010-12-22
Ord_393,LOW,2009-07-03
Ord_394,CRITICAL,2009-05-27
Ord_395,HIGH,2012-08-22
Ord_396,CRITICAL,2011-01-26
Ord_397,CRITICAL,2012-12-03
Ord_398,NOT SPECIFIED,2010-09-06
Ord_399,LOW,2011-03-29
Ord_400,HIGH,2010-08-20
Ord_401,LOW,2010-12-02
Ord_402,CRITICAL,2011-03-26
Ord_403,CRITICAL,2009-12-19
Ord_404,LOW,2011-04-29
Ord_405,HIGH,2010-10-24
Ord_406,HIGH,2010-05-12
Ord_407,MEDIUM,2010-04-11
Ord_408,LOW,2009-01-24
Ord_409,HIGH,2010-11-17
Ord_410,HIGH,2010-09-29
Ord_411,CRITICAL,2010-08-03
Ord_412,MEDIUM,2011-06-13
Ord_413,CRITICAL,2010-05-05
Ord_414,HIGH,2010-08-30
Ord_415,HIGH,2012-10-30
Ord_416,HIGH,2009-07-15
Ord_417,LOW,2012-08-07
Ord_418,CRITICAL,2009-02-01
Ord_419,MEDIUM,2012-07-07
Ord_420,MEDIUM,2009-03-27
Ord_421,NOT SPECIFIED,2010-09-23
Ord_422,LOW,2011-03-28
Ord_423,LOW,2009-07-01
Ord_424,HIGH,2010-12-11
Ord_425,HIGH,2009-09-16
Ord_426,HIGH,2011-02-04
Ord_427,MEDIUM,2010-09-11
Ord_428,MEDIUM,2010-03-02
Ord_429,CRITICAL,2009-09-15
Ord_430,MEDIUM,2010-12-30
Ord_431,MEDIUM,2011-07-25
Ord_432,LOW,2009-12-23
Ord_433,HIGH,2012-10-31
Ord_434,CRITICAL,2009-12-22
Ord_435,HIGH,2012-04-14
Ord_436,MEDIUM,2011-05-13
Ord_437,CRITICAL,2011-12-07
Ord_438,NOT SPECIFIED,2010-12-04
Ord_439,HIGH,2009-11-24
Ord_440,NOT SPECIFIED,2011-09-13
Ord_441,NOT SPECIFIED,2010-12-03
Ord_442,LOW,2011-12-18
Ord_443,LOW,2012-08-09
Ord_444,CRITICAL,2010-08-24
Ord_445,HIGH,2011-05-22
Ord_446,CRITICAL,2012-11-18
Ord_447,HIGH,2012-06-28
Ord_448,LOW,2009-02-04
Ord_449,NOT SPECIFIED,2009-12-25
Ord_450,HIGH,2011-09-26
Ord_451,MEDIUM,2011-09-22
Ord_452,CRITICAL,2009-02-15
Ord_453,MEDIUM,2009-10-11
Ord_454,MEDIUM,2011-03-10
Ord_455,HIGH,2012-08-11
Ord_456,HIGH,2009-12-25
Ord_457,LOW,2012-06-29
Ord_458,NOT SPECIFIED,2009-01-18
Ord_459,HIGH,2012-05-20
Ord_460,HIGH,2009-03-19
Ord_461,NOT SPECIFIED,2009-09-05
Ord_462,NOT SPECIFIED,2009-11-03
Ord_463,HIGH,2011-03-26
Ord_464,HIGH,2012-02-10
Ord_465,CRITICAL,2009-05-06
Ord_466,NOT SPECIFIED,2010-11-23
Ord_467,NOT SPECIFIED,2011-02-10
Ord_468,NOT SPECIFIED,2010-03-29
Ord_469,LOW,2012-09-05
Ord_470,CRITICAL,2011-01-31
Ord_471,CRITICAL,2009-08-07
Ord_472,HIGH,2012-05-05
Ord_473,HIGH,2009-11-10
Ord_474,NOT SPECIFIED,2010-06-14
Ord_475,LOW,2012-01-07
Ord_476,HIGH,2010-12-19
Ord_477,CRITICAL,2012-11-29
Ord_478,MEDIUM,2009-04-18
Ord_479,HIGH,2009-09-24
Ord_480,MEDIUM,2011-03-11
Ord_481,HIGH,2010-12-13
Ord_482,MEDIUM,2012-01-21
Ord_483,LOW,2012-01-06
Ord_484,NOT SPECIFIED,2009-12-10
Ord_485,CRITICAL,2010-02-12
Ord_486,CRITICAL,2009-06-26
Ord_487,CRITICAL,2011-02-08
Ord_488,CRITICAL,2011-02-20
Ord_489,HIGH,2012-09-10
Ord_490,CRITICAL,2010-02-12
Ord_491,LOW,2010-02-01
Ord_492,NOT SPECIFIED,2011-09-26
Ord_493,LOW,2010-08-12
Ord_494,HIGH,2010-08-20
Ord_495,MEDIUM,2012-05-17
Ord_496,LOW,2010-07-09
Ord_497,NOT SPECIFIED,2011-10-22
Ord_498,MEDIUM,2010-07-15
Ord_499,NOT SPECIFIED,2011-03-04
Ord_500,HIGH,2009-01-05
Ord_501,MEDIUM,2009-05-12
Ord_502,MEDIUM,2010-02-22
Ord_503,CRITICAL,2011-06-23
Ord_504,MEDIUM,2009-03-20
Ord_505,LOW,2011-01-22
Ord_506,LOW,2011-07-28
Ord_507,HIGH,2010-04-03
Ord_508,NOT SPECIFIED,2010-11-21
Ord_509,MEDIUM,2010-09-11
Ord_510,NOT SPECIFIED,2011-08-31
Ord_511,HIGH,2009-06-07
Ord_512,HIGH,2009-03-22
Ord_513,CRITICAL,2010-09-30
Ord_514,LOW,2010-09-15
Ord_515,NOT SPECIFIED,2010-01-10
Ord_516,CRITICAL,2010-06-26
Ord_517,LOW,2011-07-23
Ord_518,CRITICAL,2010-10-10
Ord_519,LOW,2009-02-05
Ord_520,LOW,2011-11-09
Ord_521,LOW,2009-07-26
Ord_522,MEDIUM,2009-04-18
Ord_523,LOW,2012-02-24
Ord_524,LOW,2012-07-28
Ord_525,LOW,2011-12-14
Ord_526,LOW,2010-06-13
Ord_527,NOT SPECIFIED,2010-10-01
Ord_528,HIGH,2012-04-27
Ord_529,CRITICAL,2011-09-24
Ord_530,HIGH,2012-06-30
Ord_531,CRITICAL,2011-11-10
Ord_532,NOT SPECIFIED,2009-11-05
Ord_533,NOT SPECIFIED,2009-02-19
Ord_534,CRITICAL,2010-03-02
Ord_535,CRITICAL,2009-06-28
Ord_536,HIGH,2009-01-26
Ord_537,CRITICAL,2011-08-02
Ord_538,HIGH,2010-07-04
Ord_539,NOT SPECIFIED,2012-10-01
Ord_540,NOT SPECIFIED,2011-07-14
Ord_541,MEDIUM,2010-07-25
Ord_542,LOW,2009-07-06
Ord_543,NOT SPECIFIED,2012-12-11
Ord_544,MEDIUM,2011-12-01
Ord_545,CRITICAL,2009-04-04
Ord_546,MEDIUM,2010-06-25
Ord_547,NOT SPECIFIED,2011-02-16
Ord_548,LOW,2010-08-26
Ord_549,HIGH,2010-11-04
Ord_550,LOW,2009-04-28
Ord_551,LOW,2009-08-06
Ord_552,MEDIUM,2009-03-18
Ord_553,NOT SPECIFIED,2009-01-05
Ord_554,LOW,2012-10-08
Ord_555,NOT SPECIFIED,2010-11-05
Ord_556,NOT SPECIFIED,2012-12-10
Ord_557,CRITICAL,2009-02-05
Ord_558,MEDIUM,2011-09-28
Ord_559,LOW,2012-06-05
Ord_560,MEDIUM,2010-09-26
Ord_561,MEDIUM,2009-01-21
Ord_562,CRITICAL,2012-10-05
Ord_563,CRITICAL,2009-03-25
Ord_564,NOT SPECIFIED,2012-09-20
Ord_565,NOT SPECIFIED,2010-02-05
Ord_566,HIGH,2010-03-19
Ord_567,LOW,2011-11-19
Ord_568,MEDIUM,2009-04-29
Ord_569,LOW,2011-04-03
Ord_570,MEDIUM,2011-04-16
Ord_571,LOW,2010-06-15
Ord_572,HIGH,2009-08-09
Ord_573,MEDIUM,2009-09-20
Ord_574,CRITICAL,2012-03-20
Ord_575,NOT SPECIFIED,2012-03-23
Ord_576,LOW,2010-07-19
Ord_577,MEDIUM,2012-11-21
Ord_578,HIGH,2009-03-27
Ord_579,NOT SPECIFIED,2010-05-14
Ord_580,CRITICAL,2010-10-17
Ord_581,NOT SPECIFIED,2010-08-24
Ord_582,HIGH,2011-08-10
Ord_583,MEDIUM,2009-09-24
Ord_584,HIGH,2012-10-30
Ord_585,MEDIUM,2010-05-07
Ord_586,LOW,2011-04-09
Ord_587,HIGH,2010-06-03
Ord_588,MEDIUM,2010-05-22
Ord_589,MEDIUM,2012-10-25
Ord_590,NOT SPECIFIED,2010-01-05
Ord_591,MEDIUM,2011-12-30
Ord_592,LOW,2011-02-14
Ord_593,MEDIUM,2010-05-28
Ord_594,MEDIUM,2010-06-28
Ord_595,LOW,2011-03-01
Ord_596,NOT SPECIFIED,2012-02-27
Ord_597,NOT SPECIFIED,2012-03-19
Ord_598,CRITICAL,2012-03-04
Ord_599,CRITICAL,2012-03-09
Ord_600,HIGH,2010-01-05
Ord_601,MEDIUM,2012-04-21
Ord_602,LOW,2009-06-17
Ord_603,MEDIUM,2012-06-13
Ord_604,MEDIUM,2012-07-16
Ord_605,NOT SPECIFIED,2009-05-15
Ord_606,CRITICAL,2011-01-02
Ord_607,LOW,2012-01-05
Ord_608,NOT SPECIFIED,2009-01-23
Ord_609,NOT SPECIFIED,2011-12-24
Ord_610,CRITICAL,2012-11-20
Ord_611,MEDIUM,2012-12-29
Ord_612,MEDIUM,2010-01-31
Ord_613,MEDIUM,2009-02-04
Ord_614,MEDIUM,2011-12-24
Ord_615,LOW,2010-02-27
Ord_616,CRITICAL,2012-06-25
Ord_617,HIGH,2012-03-13
Ord_618,MEDIUM,2010-12-28
Ord_619,HIGH,2012-07-03
Ord_620,NOT SPECIFIED,2012-04-05
Ord_621,LOW,2009-07-24
Ord_622,MEDIUM,2011-07-18
Ord_623,LOW,2010-04-15
Ord_624,LOW,2010-06-15
Ord_625,HIGH,2011-03-15
Ord_626,HIGH,2009-12-06
Ord_627,MEDIUM,2010-07-22
Ord_628,CRITICAL,2011-10-08
Ord_629,LOW,2010-09-07
Ord_630,NOT SPECIFIED,2012-01-22
Ord_631,HIGH,2012-04-05
Ord_632,MEDIUM,2009-12-12
Ord_633,MEDIUM,2012-03-23
Ord_634,CRITICAL,2011-09-13
Ord_635,CRITICAL,2012-09-05
Ord_636,MEDIUM,2010-08-21
Ord_637,HIGH,2012-10-26
Ord_638,LOW,2010-10-06
Ord_639,CRITICAL,2010-03-13
Ord_640,LOW,2011-05-25
Ord_641,NOT SPECIFIED,2011-05-09
Ord_642,NOT SPECIFIED,2010-01-18
Ord_643,CRITICAL,2009-12-12
Ord_644,CRITICAL,2010-01-22
Ord_645,NOT SPECIFIED,2012-12-09
Ord_646,MEDIUM,2009-08-28
Ord_647,HIGH,2012-11-04
Ord_648,LOW,2010-07-20
Ord_649,CRITICAL,2011-11-15
Ord_650,MEDIUM,2009-03-22
Ord_651,CRITICAL,2009-08-06
Ord_652,HIGH,2012-03-23
Ord_653,LOW,2011-04-13
Ord_654,CRITICAL,2011-09-06
Ord_655,MEDIUM,2012-05-23
Ord_656,LOW,2012-03-04
Ord_657,NOT SPECIFIED,2009-11-03
Ord_658,HIGH,2009-08-12
Ord_659,HIGH,2010-07-07
Ord_660,HIGH,2010-11-05
Ord_661,NOT SPECIFIED,2012-05-05
Ord_662,MEDIUM,2010-06-23
Ord_663,MEDIUM,2012-07-28
Ord_664,CRITICAL,2009-03-07
Ord_665,NOT SPECIFIED,2011-01-24
Ord_666,MEDIUM,2009-08-15
Ord_667,CRITICAL,2009-10-02
Ord_668,LOW,2012-01-01
Ord_669,HIGH,2009-11-27
Ord_670,LOW,2010-08-04
Ord_671,NOT SPECIFIED,2010-11-08
Ord_672,HIGH,2012-12-04
Ord_673,LOW,2011-03-10
Ord_674,CRITICAL,2009-07-16
Ord_675,NOT SPECIFIED,2009-02-22
Ord_676,CRITICAL,2012-09-21
Ord_677,NOT SPECIFIED,2012-11-10
Ord_678,LOW,2010-04-12
Ord_679,HIGH,2011-08-25
Ord_680,MEDIUM,2010-11-20
Ord_681,CRITICAL,2010-06-15
Ord_682,HIGH,2012-04-14
Ord_683,CRITICAL,2012-03-18
Ord_684,LOW,2009-05-05
Ord_685,NOT SPECIFIED,2012-04-18
Ord_686,MEDIUM,2011-01-09
Ord_687,NOT SPECIFIED,2009-03-06
Ord_688,CRITICAL,2010-06-07
Ord_689,MEDIUM,2012-01-16
Ord_690,CRITICAL,2010-02-02
Ord_691,MEDIUM,2012-08-18
Ord_692,HIGH,2012-10-06
Ord_693,MEDIUM,2011-03-24
Ord_694,CRITICAL,2012-10-02
Ord_695,MEDIUM,2012-08-14
Ord_696,CRITICAL,2011-02-26
Ord_697,LOW,2012-11-10
Ord_698,MEDIUM,2012-09-13
Ord_699,NOT SPECIFIED,2012-05-10
Ord_700,CRITICAL,2010-12-25
Ord_701,NOT SPECIFIED,2012-03-24
Ord_702,MEDIUM,2009-05-20
Ord_703,CRITICAL,2009-06-21
Ord_704,CRITICAL,2011-08-07
